file_name,objects,original_height,original_width,emotions
2w4w14gc7v0zzlo2hr.jpg,"{'bbox': [[53.203433030794265, 17.615104049146684, 33.96738025028607, 46.64979212224452]], 'categories': ['Sad']}",300,361,['Sad']
30nuw6i66lmickmbly.jpg,"{'bbox': [[26.798646725660358, 15.553243651943575, 27.84875745667354, 37.671816179988916]], 'categories': ['Sad']}",500,489,['Sad']
6ypnlgwpdwm4cxhzyq.jpg,"{'bbox': [[39.807704879496356, 5.299623762884472, 26.026564641918654, 20.851271193442468]], 'categories': ['Disgust']}",393,233,['Disgust']
7yfw4gdcdak0kdvqu2.jpg,"{'bbox': [[47.60784313725491, 6.438353405085614, 25.411764705882423, 49.96970297929128]], 'categories': ['Sad']}",184,274,['Sad']
9uq1l58tusi8vij6ju.jpg,"{'bbox': [[38.745098039215634, 17.137253719272767, 22.196078431372474, 48.90196205992708]], 'categories': ['Sad']}",200,300,['Sad']
COCO_train2014_000000005471.jpg,"{'bbox': [[23.189338235294105, 27.984566577536985, 8.422794117647053, 14.177560569440828]], 'categories': ['Disgust']}",427,640,['Disgust']
COCO_train2014_000000021747.jpg,"{'bbox': [[38.90498991935485, 21.53276587895074, 23.694916474654374, 37.68317298928593]], 'categories': ['Disgust']}",439,640,['Disgust']
COCO_train2014_000000025621.jpg,"{'bbox': [[55.74815668202756, 2.557921940086382, 6.3082949308756495, 7.916197299057471]], 'categories': ['Fear']}",375,500,['Fear']
COCO_train2014_000000068139.jpg,"{'bbox': [[19.06870274991719, 24.74507681279416, 7.08939489774403, 11.198601183645513]], 'categories': ['Angry']}",612,612,['Angry']
COCO_train2014_000000071749.jpg,"{'bbox': [[38.69852941176469, 11.75553861123862, 8.877450980392181, 19.07700269136942], [91.84313725490196, 25.33370155573967, 4.470588235294116, 8.36601307189542], [5.7254901960784315, 14.728896253337014, 4.784313725490196, 8.248181901868728], [33.411764705882355, 2.003129890453834, 3.529411764705877, 7.541194881708552]], 'categories': ['Angry', 'Neutral', 'Neutral', 'Neutral']}",426,640,"['Angry', 'Neutral', 'Neutral', 'Neutral']"
COCO_train2014_000000114326.jpg,"{'bbox': [[13.986175115207367, 14.78983297512109, 17.14717741935485, 30.25537278801155], [73.61751152073734, 23.15668202764977, 4.320276497695843, 7.83410138248848], [80.44354838709677, 25.115207373271893, 3.9746543778801993, 7.142857142857139]], 'categories': ['Neutral', 'Neutral', 'Neutral']}",480,640,"['Neutral', 'Neutral', 'Neutral']"
COCO_train2014_000000166764.jpg,"{'bbox': [[52.13848039215685, 33.10873872444416, 5.712009803921551, 9.362431532617927], [41.333333333333336, 34.76019515787536, 5.019607843137251, 10.722636472429343], [66.7450980392157, 0.11783212725279757, 4.313725490196077, 10.604805302402651]], 'categories': ['Sad', 'Sad', 'Disgust']}",426,640,"['Sad', 'Sad', 'Disgust']"
COCO_train2014_000000189491.jpg,"{'bbox': [[50.672181372549, 22.095123001515212, 12.29779411764709, 25.709723448196154]], 'categories': ['Disgust']}",427,640,['Disgust']
COCO_train2014_000000260359.jpg,"{'bbox': [[69.929915514593, 12.196888183549289, 9.923195084485315, 11.227874512563583]], 'categories': ['Sad']}",640,480,['Sad']
COCO_train2014_000000296153.jpg,"{'bbox': [[47.888824884792456, 31.669796061183032, 18.888248847926473, 17.86856897917778]], 'categories': ['Disgust']}",640,480,['Disgust']
COCO_train2014_000000298527.jpg,"{'bbox': [[6.282190295473019, 32.84313725490197, 8.780609017800677, 11.971650083757405], [31.566820276497698, 49.078324463142295, 19.700460829493085, 23.502324376077468], [27.188940092165897, 11.059907834101383, 8.986175115207377, 14.631336405529956], [62.903225806451616, 42.626728110599075, 19.124423963133637, 24.078341013824897]], 'categories': ['Neutral', 'Happy', 'Happy', 'Neutral']}",612,612,"['Neutral', 'Happy', 'Happy', 'Neutral']"
COCO_train2014_000000421773.jpg,"{'bbox': [[32.76857718894002, 6.319205338411242, 12.87730414746551, 16.0421238626483]], 'categories': ['Sad']}",640,640,['Sad']
COCO_train2014_000000510594.jpg,"{'bbox': [[50.97496075814426, 10.296673697892963, 12.091527956149717, 14.15263365980864], [7.118094902336044, 8.179723502304148, 12.624545675841286, 11.520737327188941]], 'categories': ['Angry', 'Angry']}",640,549,"['Angry', 'Angry']"
COCO_train2014_000000511806.jpg,"{'bbox': [[24.665441176470576, 21.289961108392948, 16.59007352941177, 30.285391345850076]], 'categories': ['Angry']}",425,640,['Angry']
COCO_train2014_000000517487.jpg,"{'bbox': [[53.01267281105987, 25.315376201756163, 23.323732718894057, 27.21842835675669]], 'categories': ['Angry']}",632,640,['Angry']
COCO_train2014_000000552895.jpg,"{'bbox': [[65.01632104454683, 4.037285514343666, 15.286098310291745, 14.148208562321384]], 'categories': ['Fear']}",640,480,['Fear']
COCO_val2014_000000016959.jpg,"{'bbox': [[42.469758064516064, 14.863693741349875, 10.268577188940158, 15.319523643258986]], 'categories': ['Sad']}",474,640,['Sad']
COCO_val2014_000000099119.jpg,"{'bbox': [[57.208211143694996, 31.13613043589853, 14.471721826560527, 25.670875587200264]], 'categories': ['Fear']}",400,550,['Fear']
COCO_val2014_000000209018.jpg,"{'bbox': [[41.22155817972343, 25.279042352650944, 26.73765120967747, 30.250201724014055]], 'categories': ['Angry']}",639,640,['Angry']
COCO_val2014_000000229304.jpg,"{'bbox': [[58.417338709677416, 58.17917714699696, 10.24625576036867, 13.479356642794437]], 'categories': ['Angry']}",640,640,['Angry']
COCO_val2014_000000572453.jpg,"{'bbox': [[73.60743087557591, 29.44125527341972, 9.71630184331795, 17.677716309972194]], 'categories': ['Fear']}",480,640,['Fear']
COCO_val2014_000000575921.jpg,"{'bbox': [[53.335253456221245, 2.7477197590760527, 24.458525345621958, 45.86897158339185]], 'categories': ['Disgust']}",480,640,['Disgust']
ap46arunay4d189msm.jpg,"{'bbox': [[23.61694909426416, 11.86654886037174, 52.107178673967006, 47.11897158339176]], 'categories': ['Fear']}",1300,866,['Fear']
b5y7o6fneg148p4xhv.jpg,"{'bbox': [[40.49857281088034, 3.0014825342112235, 17.64845369893315, 18.080207083704593]], 'categories': ['Fear']}",850,604,['Fear']
bl0oild7tyjselyoal.jpg,"{'bbox': [[25.438489444446372, 0.23041842447323418, 35.58951527494687, 37.21097933104256]], 'categories': ['Fear']}",463,370,['Fear']
bukcaslufs4nfqrt66.jpg,"{'bbox': [[5.574796083521623, 3.4562763670985737, 84.56792599256892, 62.09616917415212]], 'categories': ['Disgust']}",275,183,['Disgust']
cl5sn4ab7c511e353h.jpg,"{'bbox': [[10.72320147571222, 1.7906822977825097e-15, 73.61966029527458, 63.38699896270023]], 'categories': ['Angry']}",600,697,['Angry']
ctvx2pmqvdocr6c228.jpg,"{'bbox': [[13.19980186399138, 0.37499999999999983, 84.15186864292076, 97.07577529246157]], 'categories': ['Disgust']}",613,800,['Disgust']
dz2exu795mcqgusx8x.jpg,"{'bbox': [[4.076710307947638, 51.39105476299576, 17.509619521789887, 26.652551787432994]], 'categories': ['Sad']}",319,474,['Sad']
dzgd47s8gphnvix1et.jpg,"{'bbox': [[42.10138248847923, 7.2226846029446055, 27.272273425499254, 29.4122486669148]], 'categories': ['Sad']}",400,300,['Sad']
f30ns74m5j2m6ytlky.jpg,"{'bbox': [[42.66666666666651, 7.681078561391776, 40.70588235294091, 71.30973326443811]], 'categories': ['Fear']}",282,425,['Fear']
fdp6ejoy2z5ckxu7uf.jpg,"{'bbox': [[18.71813725490197, 4.173708146513981e-15, 41.333333333333286, 82.85484572372769]], 'categories': ['Fear']}",480,719,['Fear']
fqm25i6ql7oqwn4tlr.jpg,"{'bbox': [[47.06063365470754, 9.607115323585532, 19.448900052013858, 47.477665803119585]], 'categories': ['Angry']}",337,599,['Angry']
frame_66bc289hmy2r81hv.jpg,"{'bbox': [[85.01473625779244, 29.03051444953312, 6.514607162174488, 12.266835566444492]], 'categories': ['Sad']}",360,640,['Sad']
frame_7a68ral9kucogafl.jpg,"{'bbox': [[16.19987882793566, 30.85863955799905, 12.976591760299558, 17.141364175915967]], 'categories': ['Fear']}",2848,4272,['Fear']
frame_dqvcb3uhbjmvf2a6.jpg,"{'bbox': [[43.77954782136189, 6.562214417186207, 14.764209117353081, 36.54780650091091]], 'categories': ['Disgust']}",675,1200,['Disgust']
frame_dv6vbl6ed6m143ou.jpg,"{'bbox': [[27.759881239562063, 5.3511236667812465, 16.286138430135473, 36.31239093123046]], 'categories': ['Disgust']}",410,634,['Disgust']
frame_ej6entpaadewgc9y.jpg,"{'bbox': [[83.9968627450981, 0, 16.00313725490188, 32.2110014375259]], 'categories': ['Angry']}",416,625,['Angry']
frame_fr35rcsskco53ibw.jpg,"{'bbox': [[32.4278531925591, 28.701381446700058, 17.334841628959254, 34.24032070651811]], 'categories': ['Angry']}",313,468,['Angry']
frame_gu3ckkuhk78q9ntb.jpg,"{'bbox': [[61.41176470588232, 35.33844414248002, 5.803921568627454, 12.294490620643494], [13.666666666666666, 48.061312451931485, 5.411764705882362, 11.955725576669385], [92.89215686274468, 52.02712085908156, 6.95098039215668, 18.60486282564309], [74.42156862745095, 46.35147073525382, 4.794117647058814, 9.065757509026918], [7.0588235294117645, 52.36620964175144, 7.529411764705882, 10.2609464838567], [28.15686274509804, 45.171752911690994, 5.019607843137258, 8.963585434173666], [47.372549019607845, 44.9358690844759, 5.254901960784309, 8.60975969335103]], 'categories': ['Neutral', 'Neutral', 'Neutral', 'Fear', 'Neutral', 'Neutral', 'Neutral']}",399,600,"['Neutral', 'Neutral', 'Neutral', 'Fear', 'Neutral', 'Neutral', 'Neutral']"
ftn81xo2oyd3t7wncr.jpg,"{'bbox': [[43.529411764705856, 0, 37.882352941176265, 51.3039226837334]], 'categories': ['Angry']}",400,600,['Angry']
ggm3qscae2y4hpt68k.jpg,"{'bbox': [[14.269935755576526, 8.925601129119505, 22.040020418808812, 46.19980615748195]], 'categories': ['Angry']}",389,640,['Angry']
gs2trkwi7hos146z4w.jpg,"{'bbox': [[2.985471921266787, 5.781345704269248e-15, 59.81242799539173, 87.83865152957738]], 'categories': ['Angry']}",188,256,['Angry']
0437912fa55c4fdeab4d167eb28231a3.jpg,"{'bbox': [[5.883891213389121, 25.52301255230125, 6.5115062761506275, 17.15481171548117], [20.554393305439326, 30.334728033472803, 4.0794979079497935, 11.50627615062761], [36.95083682008368, 35.87866108786611, 2.5889121338912133, 5.753138075313807], [27.222803347280333, 37.238493723849366, 1.9612970711297066, 4.393305439330547], [53.81799163179915, 37.447698744769866, 2.0397489539749003, 4.7071129707113], [50.05230125523013, 37.13389121338912, 2.1182008368200798, 5.439330543933053], [69.66972770225368, 39.079713504489696, 2.0595272947178387, 3.1266751008917737], [74.82874161872513, 38.372813046896766, 3.0179211843390163, 4.921114724012284]], 'categories': ['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']}",1512,2016,"['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
05333b2b99254bb98670bf10f98089d4.jpg,"{'bbox': [[30.43137254901961, 32.35294117647059, 8.627450980392151, 26.470588235294123], [76.47058823529412, 37.81512605042017, 6.823529411764696, 22.89915966386554], [44.07843137254902, 33.193277310924366, 5.019607843137251, 16.806722689075634], [72.31372549019608, 39.91596638655462, 3.9215686274509807, 13.865546218487395], [52.54901960784314, 34.45378151260504, 3.764705882352935, 14.915966386554622], [7.372549019607844, 36.554621848739494, 4.392156862745097, 15.546218487394967], [8.326672684688674e-17, 39.075630252100844, 2.9019607843137254, 14.705882352941174], [92.3921568627451, 31.512605042016805, 4.313725490196077, 18.907563025210084], [26.745098039215687, 32.983193277310924, 3.6862745098039227, 17.436974789915965]], 'categories': ['Happy', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Happy', 'Happy']}",448,1200,"['Happy', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Happy', 'Happy']"
0f9278cab07543da8e67f686d9708aa8.jpg,"{'bbox': [[45.51804423748545, 16.406424440554492, 26.77532013969732, 67.37106206440463], [16.682113067655237, 76.14446975875119, 13.438368860055608, 22.64881126035847], [33.82761816496756, 32.37529462370261, 5.1899907321594085, 9.865433125677612], [0.46339202965708987, 32.23634486136911, 11.214087117701576, 16.673971480018515], [42.53938832252086, 65.72323758373962, 10.37998146431881, 17.09082076701897]], 'categories': ['Surprise', 'Happy', 'Happy', 'Happy', 'Angry']}",2732,4096,"['Surprise', 'Happy', 'Happy', 'Happy', 'Angry']"
11_Meeting_Meeting_11_Meeting_Meeting_11_203.jpg,"{'bbox': [[35.85564610011641, 51.458715804837894, 5.820721769499421, 14.222258137015501], [60.06984866123399, 53.010234874330486, 4.772991850989527, 12.929325579105004], [13.736903376018628, 51.97588882800209, 5.122235157159487, 14.222258137015494], [90.57043073341094, 51.20012929325579, 5.471478463329447, 14.222258137015494]], 'categories': ['Neutral', 'Neutral', 'Neutral', 'Neutral']}",461,1024,"['Neutral', 'Neutral', 'Neutral', 'Neutral']"
