epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.6843,4.01063,7.51093,3.36222,0,0,0,0,3.94428,4.42447,3.16723,7.272e-05,7.272e-05,7.272e-05
2,70.7749,3.35322,6.70854,2.42108,1e-05,0.00063,1e-05,0,3.12702,4.40678,2.22854,0.00015402,0.00015402,0.00015402
3,72.7937,2.84048,5.86192,1.89593,0.00019,0.03454,0.00016,3e-05,2.6064,4.31997,1.74365,0.00023478,0.00023478,0.00023478
4,74.8286,2.57643,5.13123,1.68121,0.00047,0.04336,0.0004,9e-05,2.51787,4.17171,1.69153,0.000315,0.000315,0.000315
5,76.85,2.35804,4.64949,1.61086,0.00334,0.11491,0.00358,0.00105,2.39232,3.91425,1.56965,0.000394681,0.000394681,0.000394681
6,78.8657,2.32135,4.09315,1.57778,0.0036,0.16636,0.0089,0.00245,2.47983,3.79403,1.72808,0.000473821,0.000473821,0.000473821
7,81.0066,2.31816,3.99227,1.57821,0.00516,0.23969,0.01664,0.00532,2.37629,3.70745,1.60777,0.000552421,0.000552421,0.000552421
8,83.0954,2.26017,3.95992,1.53258,0.0071,0.26284,0.04794,0.01603,2.3098,3.60401,1.60433,0.000630481,0.000630481,0.000630481
9,85.1833,2.21706,3.82048,1.51714,0.00664,0.24131,0.04632,0.01403,2.57,3.56067,1.77171,0.000708002,0.000708002,0.000708002
10,87.1717,2.35092,3.9803,1.56993,0.00767,0.24947,0.04213,0.01268,2.28896,3.60631,1.6402,0.000784982,0.000784982,0.000784982
11,89.1526,2.24556,3.79934,1.53226,0.00681,0.22939,0.03889,0.01104,2.29844,3.59929,1.70084,0.000861423,0.000861423,0.000861423
12,91.1286,2.30172,3.68636,1.57567,0.00688,0.21647,0.04631,0.01193,2.37498,3.56144,1.74925,0.000876003,0.000876003,0.000876003
13,93.0756,2.2631,3.79289,1.62576,0.00884,0.29929,0.0628,0.01924,2.37,3.29783,2.34179,0.000873004,0.000873004,0.000873004
14,95.1205,2.14564,3.55348,1.5412,0.08377,0.09571,0.05841,0.017,2.4378,3.14624,2.24716,0.000870004,0.000870004,0.000870004
15,97.0824,2.22195,3.44475,1.56348,0.23638,0.0851,0.06416,0.01848,2.32616,2.97362,1.61037,0.000867004,0.000867004,0.000867004
16,99.0329,2.16314,3.35642,1.51343,0.36599,0.08132,0.06999,0.0237,2.21384,2.90956,1.61215,0.000864004,0.000864004,0.000864004
17,101.413,2.15444,3.33476,1.47911,0.6516,0.05807,0.06497,0.02192,2.21138,2.9402,1.53409,0.000861005,0.000861005,0.000861005
18,103.398,2.05928,3.24967,1.47603,0.37631,0.08744,0.05512,0.01706,2.21942,2.94094,1.53608,0.000858005,0.000858005,0.000858005
19,105.417,2.03398,3.3011,1.43728,0.34799,0.08854,0.05574,0.01798,2.19906,2.9306,1.51482,0.000855005,0.000855005,0.000855005
20,107.448,2.07888,3.24428,1.49579,0.40717,0.14368,0.08214,0.02628,2.22809,2.65003,1.50716,0.000852006,0.000852006,0.000852006
21,109.355,2.07129,3.08668,1.4333,0.3753,0.13093,0.07512,0.0242,2.20513,2.67565,1.48269,0.000849006,0.000849006,0.000849006
22,111.274,1.99588,2.90101,1.40459,0.37303,0.11267,0.06789,0.02039,2.21824,2.79317,1.49142,0.000846006,0.000846006,0.000846006
23,113.146,1.97495,2.99214,1.37513,0.35661,0.11579,0.07374,0.02492,2.20084,2.73297,1.45788,0.000843007,0.000843007,0.000843007
24,115.014,1.96523,2.8966,1.40184,0.3589,0.10552,0.08053,0.02387,2.23223,2.76472,1.4849,0.000840007,0.000840007,0.000840007
25,116.98,1.99299,2.94316,1.3689,0.2259,0.13025,0.07702,0.02488,2.22681,2.72399,1.51287,0.000837007,0.000837007,0.000837007
26,118.928,1.95704,2.81159,1.40717,0.26832,0.16086,0.08655,0.02631,2.23516,2.59902,1.52303,0.000834007,0.000834007,0.000834007
27,120.909,2.01922,2.74345,1.39385,0.38646,0.13835,0.0846,0.02616,2.30159,2.57947,1.51843,0.000831008,0.000831008,0.000831008
28,122.746,2.01117,2.6887,1.42456,0.4643,0.18869,0.10263,0.03312,2.21599,2.53214,1.49896,0.000828008,0.000828008,0.000828008
29,124.664,1.94624,2.66113,1.41946,0.27356,0.16326,0.09607,0.02967,2.2573,2.57136,1.52075,0.000825008,0.000825008,0.000825008
30,126.535,1.94444,2.70323,1.39844,0.21935,0.16136,0.07945,0.02651,2.28242,2.59293,1.52098,0.000822009,0.000822009,0.000822009
31,128.371,1.91151,2.50634,1.35655,0.35874,0.1837,0.12948,0.04342,2.25057,2.48588,1.46419,0.000819009,0.000819009,0.000819009
32,130.345,1.96948,2.62143,1.36839,0.25373,0.14749,0.09703,0.03117,2.32744,2.52982,1.52482,0.000816009,0.000816009,0.000816009
33,132.252,1.87381,2.45204,1.32734,0.25915,0.17982,0.09452,0.03035,2.33885,2.52956,1.53802,0.00081301,0.00081301,0.00081301
