epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.71815,4.01063,7.51093,3.36222,0,0,0,0,3.70485,4.41309,3.19093,7.272e-05,7.272e-05,7.272e-05
2,8.64533,3.35322,6.70854,2.42108,0,0,0,0,3.17463,4.3253,2.6011,0.00015402,0.00015402,0.00015402
3,10.588,2.84048,5.86192,1.89593,2e-05,0.00135,1e-05,0,2.65142,4.20828,2.09837,0.00023478,0.00023478,0.00023478
4,12.3777,2.57643,5.13123,1.68121,6e-05,0.03706,0.00013,1e-05,2.58513,4.10323,1.97737,0.000315,0.000315,0.000315
5,14.271,2.35804,4.64949,1.61086,0.00389,0.12992,0.00587,0.00108,2.42095,3.93556,1.85983,0.000394681,0.000394681,0.000394681
6,16.2058,2.32135,4.09315,1.57778,0.00365,0.17409,0.00971,0.00257,2.46315,3.85059,1.92218,0.000473821,0.000473821,0.000473821
7,18.0641,2.31816,3.99227,1.57821,0.00705,0.31588,0.02814,0.00789,2.33096,3.79782,1.79937,0.000552421,0.000552421,0.000552421
8,19.8477,2.26017,3.95992,1.53258,0.00752,0.32296,0.08511,0.03103,2.25363,3.7351,1.78878,0.000630481,0.000630481,0.000630481
9,21.6374,2.21706,3.82048,1.51714,0.00734,0.28015,0.07045,0.02242,2.34118,3.7394,1.97712,0.000708002,0.000708002,0.000708002
10,23.407,2.35092,3.9803,1.56993,0.00797,0.26445,0.0662,0.01995,2.30884,3.88331,2.034,0.000784982,0.000784982,0.000784982
11,25.1351,2.24556,3.79934,1.53226,0.00812,0.25522,0.04536,0.01264,2.33119,3.83936,1.99759,0.000861423,0.000861423,0.000861423
12,26.8907,2.30172,3.68636,1.57567,0.0075,0.23157,0.05178,0.01442,2.24676,3.74181,1.87724,0.000876003,0.000876003,0.000876003
13,28.6309,2.2631,3.79289,1.62576,0.00924,0.31064,0.07624,0.02876,2.46567,3.55448,2.30869,0.000873004,0.000873004,0.000873004
14,30.4767,2.14564,3.55348,1.5412,0.06355,0.14873,0.08605,0.02684,2.41188,3.52476,2.26262,0.000870004,0.000870004,0.000870004
15,32.2522,2.22195,3.44475,1.56348,0.25112,0.09454,0.07703,0.02261,2.23511,3.31783,1.87532,0.000867004,0.000867004,0.000867004
16,34.0605,2.16314,3.35642,1.51343,0.38475,0.10294,0.07947,0.02532,2.21284,3.27518,1.87068,0.000864004,0.000864004,0.000864004
17,35.8073,2.15444,3.33476,1.47911,0.6851,0.09292,0.07507,0.02313,2.17491,3.26925,1.68663,0.000861005,0.000861005,0.000861005
18,37.5764,2.05928,3.24967,1.47603,0.40296,0.11285,0.07108,0.01932,2.24226,3.29434,1.76518,0.000858005,0.000858005,0.000858005
19,39.2806,2.03398,3.3011,1.43728,0.35531,0.10277,0.07773,0.0198,2.26114,3.43173,1.78444,0.000855005,0.000855005,0.000855005
20,41.1134,2.07888,3.24428,1.49579,0.4438,0.19319,0.09723,0.03307,2.24143,2.90379,1.81293,0.000852006,0.000852006,0.000852006
21,42.9463,2.07129,3.08668,1.4333,0.36033,0.12023,0.08711,0.02736,2.27892,2.94074,1.83461,0.000849006,0.000849006,0.000849006
22,44.712,1.99588,2.90101,1.40459,0.20378,0.1149,0.07331,0.02229,2.22077,3.02527,1.71142,0.000846006,0.000846006,0.000846006
23,46.4439,1.97495,2.99214,1.37513,0.3528,0.12036,0.08757,0.02479,2.17764,3.05314,1.6546,0.000843007,0.000843007,0.000843007
24,48.2197,1.96523,2.8966,1.40184,0.36593,0.11287,0.09048,0.02779,2.25782,3.0311,1.70986,0.000840007,0.000840007,0.000840007
25,49.9627,1.99299,2.94316,1.3689,0.25373,0.16139,0.09212,0.02934,2.26405,2.99521,1.7225,0.000837007,0.000837007,0.000837007
26,51.6678,1.95704,2.81159,1.40717,0.3487,0.14633,0.10818,0.03126,2.29866,2.88914,1.83303,0.000834007,0.000834007,0.000834007
27,53.5228,2.01922,2.74345,1.39385,0.61922,0.14445,0.10508,0.03501,2.34482,2.92968,1.78203,0.000831008,0.000831008,0.000831008
28,55.3194,2.01117,2.6887,1.42456,0.51266,0.22525,0.12113,0.03944,2.33575,2.94134,1.79943,0.000828008,0.000828008,0.000828008
29,57.154,1.94624,2.66113,1.41946,0.25731,0.18091,0.11844,0.03789,2.36015,2.89974,1.84674,0.000825008,0.000825008,0.000825008
30,58.875,1.94444,2.70323,1.39844,0.20035,0.17044,0.08969,0.02892,2.30843,2.94066,1.73654,0.000822009,0.000822009,0.000822009
31,60.5772,1.91151,2.50634,1.35655,0.35389,0.23194,0.17572,0.05252,2.30783,2.85478,1.69306,0.000819009,0.000819009,0.000819009
32,62.3318,1.96948,2.62143,1.36839,0.21126,0.15167,0.13036,0.04006,2.3379,2.92362,1.78553,0.000816009,0.000816009,0.000816009
33,64.0294,1.87381,2.45204,1.32734,0.30157,0.1923,0.11263,0.03637,2.32999,2.82743,1.74723,0.00081301,0.00081301,0.00081301
34,65.6979,1.89351,2.50427,1.37545,0.3823,0.19835,0.12074,0.03107,2.27578,2.90981,1.70954,0.00081001,0.00081001,0.00081001
35,67.4309,1.87637,2.3938,1.32166,0.38076,0.1625,0.10632,0.03076,2.28947,2.93363,1.71446,0.00080701,0.00080701,0.00080701
36,69.2703,1.84433,2.29431,1.36905,0.50224,0.1492,0.10395,0.03066,2.31253,3.00591,1.75177,0.00080401,0.00080401,0.00080401
37,70.9772,1.88118,2.36613,1.34543,0.44778,0.18498,0.10893,0.03547,2.24435,2.91883,1.70472,0.000801011,0.000801011,0.000801011
38,72.8183,1.87522,2.36536,1.37528,0.16493,0.17058,0.12187,0.04533,2.30351,2.72543,1.77613,0.000798011,0.000798011,0.000798011
39,74.5105,1.87304,2.35985,1.39295,0.3534,0.17761,0.11968,0.04096,2.31637,2.77207,1.7151,0.000795011,0.000795011,0.000795011
40,76.2174,1.79515,2.22417,1.31835,0.31516,0.21889,0.11971,0.03781,2.44732,2.91205,1.79565,0.000792012,0.000792012,0.000792012
41,77.8822,1.85169,2.17397,1.3281,0.21133,0.14652,0.11395,0.03612,2.35672,3.00245,1.68532,0.000789012,0.000789012,0.000789012
42,79.5386,1.82617,2.10174,1.29164,0.32149,0.18138,0.12203,0.03062,2.38964,3.05144,1.71204,0.000786012,0.000786012,0.000786012
43,81.322,1.7932,2.10959,1.29067,0.39824,0.16938,0.14827,0.03719,2.46915,2.92095,1.82414,0.000783013,0.000783013,0.000783013
44,83.0928,1.82521,2.06345,1.27057,0.2369,0.12462,0.113,0.03335,2.42209,2.7814,1.85796,0.000780013,0.000780013,0.000780013
45,84.8126,1.80582,2.03159,1.33309,0.36576,0.16026,0.13579,0.03858,2.42571,2.76214,1.8664,0.000777013,0.000777013,0.000777013
46,86.5463,1.83657,2.06272,1.29576,0.39047,0.16382,0.12221,0.04207,2.36586,2.67741,1.82866,0.000774013,0.000774013,0.000774013
47,88.2398,1.81706,2.09351,1.31274,0.51171,0.1115,0.1078,0.03379,2.40932,2.83666,1.81364,0.000771014,0.000771014,0.000771014
48,89.9319,1.73624,1.97686,1.23177,0.41608,0.19884,0.17597,0.05022,2.36404,2.90954,1.76418,0.000768014,0.000768014,0.000768014
49,91.6639,1.79122,2.00891,1.26854,0.47744,0.12584,0.12013,0.04261,2.27515,2.87135,1.7375,0.000765014,0.000765014,0.000765014
50,93.3448,1.72889,1.88122,1.2759,0.67517,0.16986,0.1595,0.0454,2.28099,2.65141,1.74525,0.000762015,0.000762015,0.000762015
51,95.0824,1.75161,1.94622,1.30539,0.60354,0.16115,0.15166,0.05705,2.23355,2.5553,1.7215,0.000759015,0.000759015,0.000759015
52,96.9957,1.80146,1.92301,1.3211,0.46004,0.22638,0.13311,0.04212,2.3439,2.71781,1.95723,0.000756015,0.000756015,0.000756015
53,98.6623,1.68164,1.80872,1.26992,0.17305,0.19532,0.13816,0.05242,2.27882,2.80006,1.91215,0.000753016,0.000753016,0.000753016
54,100.347,1.65183,1.82008,1.2367,0.13488,0.18463,0.13304,0.05048,2.36289,2.77465,1.9369,0.000750016,0.000750016,0.000750016
55,102.068,1.75872,1.85713,1.27653,0.24005,0.20642,0.129,0.03769,2.41099,2.77702,1.98974,0.000747016,0.000747016,0.000747016
56,103.796,1.7229,1.83949,1.24596,0.17135,0.18317,0.12328,0.03868,2.38,3.11374,1.93898,0.000744016,0.000744016,0.000744016
57,105.466,1.79655,1.83189,1.26245,0.14424,0.17931,0.13268,0.03607,2.37714,2.98823,1.9128,0.000741017,0.000741017,0.000741017
58,107.352,1.7878,1.8782,1.27714,0.20707,0.19233,0.11336,0.03505,2.46561,3.12278,2.08103,0.000738017,0.000738017,0.000738017
59,109.135,1.7181,1.78483,1.24029,0.57355,0.12115,0.10683,0.03273,2.3342,3.02056,1.92576,0.000735017,0.000735017,0.000735017
60,110.893,1.68948,1.72649,1.24619,0.57138,0.11615,0.09646,0.03235,2.38483,2.99613,1.89866,0.000732018,0.000732018,0.000732018
61,112.584,1.63559,1.7333,1.23298,0.23108,0.20435,0.12992,0.04225,2.32881,3.27238,1.89451,0.000729018,0.000729018,0.000729018
62,114.293,1.72479,1.6676,1.2434,0.28361,0.17307,0.12936,0.03636,2.31922,3.18768,1.932,0.000726018,0.000726018,0.000726018
63,115.998,1.65137,1.62044,1.20147,0.32721,0.20083,0.15478,0.049,2.33896,3.08636,1.90771,0.000723019,0.000723019,0.000723019
64,117.659,1.73562,1.69196,1.2712,0.13384,0.268,0.13927,0.05456,2.37284,3.01427,1.95963,0.000720019,0.000720019,0.000720019
65,119.358,1.71397,1.65499,1.24178,0.12942,0.27205,0.13323,0.06504,2.49931,2.83249,2.00389,0.000717019,0.000717019,0.000717019
66,121.152,1.69127,1.61813,1.23329,0.129,0.27087,0.13234,0.05533,2.54877,2.80494,2.01118,0.000714019,0.000714019,0.000714019
67,122.907,1.65969,1.57034,1.22706,0.20259,0.24252,0.13136,0.03892,2.3781,3.15998,1.83934,0.00071102,0.00071102,0.00071102
68,124.615,1.6383,1.60022,1.19613,0.2377,0.21852,0.12941,0.04596,2.30472,3.04879,1.7444,0.00070802,0.00070802,0.00070802
