epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.5697,0.07451,6.25691,2.3202,0.30813,0.03696,0.01163,0.00189,0.09374,5.39528,2.72858,0.00015453,0.00015453,0.00015453
2,99.4379,0.06936,5.04572,1.77837,0.6328,0.09948,0.04114,0.00946,0.07861,3.74819,1.89742,0.00031605,0.00031605,0.00031605
3,107.612,0.06088,3.79588,1.54213,0.76352,0.11154,0.03951,0.00856,0.07948,3.34992,1.95285,0.000475411,0.000475411,0.000475411
4,115.553,0.0574,3.07551,1.51881,0.75532,0.10212,0.04505,0.00968,0.07674,3.26518,1.94158,0.000632611,0.000632611,0.000632611
5,123.468,0.05803,2.88237,1.53232,0.76426,0.18477,0.07927,0.02126,0.07127,3.40667,1.90971,0.000787652,0.000787652,0.000787652
6,131.503,0.0559,2.59564,1.47288,0.65075,0.20446,0.07755,0.02104,0.0704,2.59156,1.79838,0.000879003,0.000879003,0.000879003
7,139.269,0.05615,2.52982,1.48415,0.77754,0.17739,0.08693,0.0219,0.07096,2.93618,1.87299,0.000873004,0.000873004,0.000873004
8,147.264,0.05636,2.44248,1.50343,0.78987,0.17668,0.09426,0.02787,0.06946,2.96935,1.80001,0.000867004,0.000867004,0.000867004
9,155.247,0.05611,2.33691,1.50602,0.65021,0.18185,0.09229,0.02728,0.06664,2.62957,1.64634,0.000861005,0.000861005,0.000861005
10,163.019,0.05304,2.28153,1.41743,0.66135,0.27164,0.15833,0.03936,0.06588,2.68508,1.59612,0.000855005,0.000855005,0.000855005
11,170.992,0.05549,2.23114,1.49094,0.6937,0.24206,0.13827,0.03957,0.06662,2.62511,1.64449,0.000849006,0.000849006,0.000849006
12,179.006,0.05308,2.23402,1.41615,0.71667,0.21993,0.13184,0.03467,0.069,2.83488,1.76692,0.000843007,0.000843007,0.000843007
13,186.724,0.05477,2.25497,1.43159,0.79719,0.16808,0.12941,0.04016,0.06915,2.84484,1.78107,0.000837007,0.000837007,0.000837007
14,194.782,0.05495,2.26965,1.47483,0.77456,0.20229,0.11537,0.03338,0.06907,2.92976,1.82184,0.000831008,0.000831008,0.000831008
15,202.547,0.05376,2.26264,1.45633,0.80696,0.16586,0.1552,0.04116,0.06388,2.5944,1.65124,0.000825008,0.000825008,0.000825008
16,210.56,0.05255,2.21363,1.48496,0.78859,0.17805,0.1407,0.03768,0.06763,2.45678,1.75462,0.000819009,0.000819009,0.000819009
17,220.514,0.05253,2.1035,1.4766,0.78597,0.18342,0.13643,0.03498,0.07274,2.53533,1.9027,0.00081301,0.00081301,0.00081301
18,229.756,0.05102,2.1288,1.40771,0.78941,0.19963,0.14029,0.03845,0.0666,2.52409,1.67515,0.00080701,0.00080701,0.00080701
19,237.478,0.05242,2.07149,1.37242,0.77716,0.18076,0.16214,0.04125,0.07041,2.53877,1.78712,0.000801011,0.000801011,0.000801011
20,245.432,0.05203,2.00907,1.38933,0.63857,0.18074,0.11237,0.03023,0.07068,2.45203,1.83568,0.000795011,0.000795011,0.000795011
21,253.16,0.05318,2.04739,1.42934,0.64546,0.16489,0.08474,0.02488,0.07012,2.4701,1.83812,0.000789012,0.000789012,0.000789012
22,260.931,0.05072,1.97994,1.37372,0.61956,0.21508,0.19469,0.061,0.06648,2.45235,1.64601,0.000783013,0.000783013,0.000783013
23,268.894,0.05407,2.11648,1.44639,0.36481,0.25418,0.20849,0.07029,0.06449,2.46312,1.60842,0.000777013,0.000777013,0.000777013
24,276.834,0.05033,2.05159,1.40105,0.25412,0.30494,0.13922,0.03651,0.06624,2.50833,1.65148,0.000771014,0.000771014,0.000771014
25,286.856,0.04963,2.007,1.33253,0.20736,0.24035,0.11381,0.03308,0.06741,2.44779,1.68893,0.000765014,0.000765014,0.000765014
26,294.629,0.05099,1.93375,1.40477,0.80329,0.1808,0.161,0.05259,0.06655,2.40453,1.65336,0.000759015,0.000759015,0.000759015
27,304.636,0.05153,1.93857,1.3849,0.66121,0.1545,0.14629,0.04724,0.06653,2.38396,1.63801,0.000753016,0.000753016,0.000753016
28,312.365,0.05148,1.95142,1.40331,0.38182,0.29387,0.16646,0.05395,0.06546,2.40079,1.6372,0.000747016,0.000747016,0.000747016
29,321.703,0.05349,1.95395,1.44293,0.36885,0.30536,0.16062,0.05023,0.06529,2.43508,1.6574,0.000741017,0.000741017,0.000741017
30,329.472,0.05069,1.90848,1.4149,0.34518,0.27164,0.1588,0.04891,0.06829,2.38292,1.73832,0.000735017,0.000735017,0.000735017
31,339.416,0.04934,1.92378,1.37426,0.79216,0.17818,0.141,0.03941,0.0679,2.40926,1.73606,0.000729018,0.000729018,0.000729018
32,347.196,0.05081,1.93097,1.40623,0.80128,0.1782,0.14823,0.04156,0.06792,2.44385,1.71457,0.000723019,0.000723019,0.000723019
33,354.939,0.04882,1.88569,1.36739,0.8023,0.16756,0.15518,0.03701,0.06997,2.32792,1.80965,0.000717019,0.000717019,0.000717019
34,362.725,0.04923,1.83376,1.40258,0.38484,0.2508,0.14827,0.04655,0.06688,2.28539,1.79322,0.00071102,0.00071102,0.00071102
35,370.456,0.05289,1.88534,1.41834,0.57816,0.23482,0.14843,0.04403,0.06865,2.27682,1.78011,0.00070502,0.00070502,0.00070502
36,378.179,0.04971,1.80637,1.33552,0.75172,0.19235,0.1961,0.05157,0.07087,2.27763,1.79405,0.000699021,0.000699021,0.000699021
37,385.903,0.04927,1.86043,1.3669,0.75047,0.20978,0.19152,0.05478,0.07048,2.33669,1.79519,0.000693022,0.000693022,0.000693022
38,393.67,0.05137,1.88416,1.33027,0.76147,0.1953,0.17232,0.05399,0.06811,2.32911,1.72242,0.000687022,0.000687022,0.000687022
39,401.396,0.04828,1.83363,1.36188,0.68737,0.23271,0.17339,0.05611,0.0692,2.23934,1.78197,0.000681023,0.000681023,0.000681023
40,409.106,0.05071,1.80071,1.41843,0.42056,0.30277,0.1583,0.0517,0.0676,2.41604,1.75962,0.000675023,0.000675023,0.000675023
41,416.824,0.05039,1.79994,1.39952,0.38984,0.21509,0.16503,0.05406,0.06602,2.36746,1.69981,0.000669024,0.000669024,0.000669024
42,424.593,0.04901,1.74317,1.34916,0.2213,0.24208,0.13493,0.03742,0.07113,2.25862,1.78839,0.000663025,0.000663025,0.000663025
43,432.326,0.04809,1.7332,1.34298,0.66067,0.15669,0.14844,0.03972,0.06876,2.19099,1.75597,0.000657025,0.000657025,0.000657025
44,440.293,0.04868,1.72774,1.36225,0.24212,0.24725,0.13194,0.03969,0.06667,2.12906,1.73515,0.000651026,0.000651026,0.000651026
45,448.024,0.04852,1.66507,1.33924,0.42566,0.21036,0.1377,0.04174,0.06843,2.15458,1.82042,0.000645026,0.000645026,0.000645026
46,455.8,0.0475,1.66007,1.34859,0.56397,0.20024,0.16362,0.05296,0.0723,2.16127,1.93617,0.000639027,0.000639027,0.000639027
47,463.528,0.0484,1.62543,1.33322,0.10566,0.2606,0.14273,0.04637,0.07057,2.12904,1.90212,0.000633028,0.000633028,0.000633028
48,471.305,0.04809,1.60962,1.28615,0.10912,0.24055,0.14099,0.04636,0.0686,2.16064,1.83554,0.000627028,0.000627028,0.000627028
49,479.038,0.04748,1.57999,1.33144,0.10767,0.24972,0.14496,0.04039,0.07139,2.11548,1.91827,0.000621029,0.000621029,0.000621029
50,486.81,0.04954,1.58599,1.33748,0.30598,0.26056,0.17505,0.04913,0.0704,2.08868,1.83389,0.000615029,0.000615029,0.000615029
51,494.563,0.04868,1.61118,1.3318,0.69757,0.22062,0.16634,0.05305,0.06774,2.17202,1.75983,0.00060903,0.00060903,0.00060903
52,502.285,0.04836,1.64507,1.35066,0.56535,0.19972,0.15306,0.03963,0.07043,2.26661,1.8473,0.000603031,0.000603031,0.000603031
53,510.026,0.04729,1.58513,1.32668,0.53959,0.1465,0.14936,0.03687,0.07036,2.22273,1.85036,0.000597031,0.000597031,0.000597031
54,517.793,0.04911,1.62135,1.28875,0.35385,0.20506,0.1412,0.03968,0.06567,2.2757,1.70195,0.000591032,0.000591032,0.000591032
55,525.515,0.04612,1.59987,1.31567,0.21612,0.19225,0.13276,0.04025,0.06625,2.24339,1.73447,0.000585032,0.000585032,0.000585032
56,535.522,0.04815,1.56592,1.32721,0.34325,0.28613,0.16052,0.04748,0.06924,2.12816,1.82611,0.000579033,0.000579033,0.000579033
57,543.269,0.0467,1.56762,1.28321,0.72062,0.14793,0.13097,0.04635,0.0705,2.20615,1.81199,0.000573034,0.000573034,0.000573034
58,551.045,0.04619,1.58406,1.2487,0.83143,0.15121,0.14947,0.04805,0.06856,2.20696,1.7544,0.000567034,0.000567034,0.000567034
59,558.761,0.04759,1.54123,1.36766,0.26418,0.25389,0.18695,0.05368,0.06953,2.17862,1.78443,0.000561035,0.000561035,0.000561035
60,566.488,0.04745,1.54425,1.34676,0.2456,0.22211,0.16272,0.05203,0.06938,2.18058,1.74851,0.000555035,0.000555035,0.000555035
61,574.18,0.0459,1.48932,1.28415,0.82384,0.15994,0.14339,0.04375,0.07033,2.26798,1.77898,0.000549036,0.000549036,0.000549036
62,581.961,0.04671,1.44921,1.29836,0.30353,0.26745,0.15969,0.05511,0.06934,2.19498,1.72368,0.000543037,0.000543037,0.000543037
63,589.725,0.04725,1.48993,1.33656,0.30922,0.25813,0.16883,0.05656,0.07069,2.22517,1.77147,0.000537037,0.000537037,0.000537037
64,597.474,0.04712,1.48576,1.31097,0.30548,0.26727,0.17051,0.05512,0.07134,2.35122,1.8162,0.000531038,0.000531038,0.000531038
65,605.19,0.04489,1.41819,1.24591,0.85879,0.15197,0.17099,0.05108,0.07107,2.32343,1.81048,0.000525038,0.000525038,0.000525038
66,612.946,0.04588,1.44789,1.26201,0.70007,0.14724,0.15497,0.0487,0.06913,2.22001,1.76668,0.000519039,0.000519039,0.000519039
67,620.694,0.04794,1.39252,1.29904,0.82932,0.13033,0.14829,0.04364,0.06912,2.27176,1.74743,0.00051304,0.00051304,0.00051304
68,628.429,0.04491,1.3174,1.28141,0.83227,0.12091,0.13835,0.04166,0.07016,2.40973,1.78634,0.00050704,0.00050704,0.00050704
69,636.152,0.04476,1.38049,1.27965,0.09993,0.22897,0.16092,0.0481,0.0683,2.42248,1.71908,0.000501041,0.000501041,0.000501041
70,643.917,0.04699,1.39832,1.30397,0.75728,0.18888,0.21994,0.06924,0.06959,2.43839,1.79741,0.000495041,0.000495041,0.000495041
71,651.635,0.04539,1.41022,1.27021,0.22395,0.27865,0.22587,0.07264,0.07023,2.20446,1.85697,0.000489042,0.000489042,0.000489042
72,659.638,0.04572,1.37521,1.28033,0.18908,0.27606,0.19741,0.0568,0.06973,2.27253,1.8587,0.000483043,0.000483043,0.000483043
73,667.374,0.04619,1.36822,1.29786,0.1539,0.28353,0.20578,0.06132,0.0711,2.33915,1.88416,0.000477043,0.000477043,0.000477043
74,675.149,0.04503,1.32805,1.26742,0.18283,0.24638,0.18444,0.054,0.07199,2.30125,1.87872,0.000471044,0.000471044,0.000471044
75,682.937,0.04567,1.33153,1.27683,0.22036,0.24181,0.18486,0.05379,0.07043,2.20279,1.8535,0.000465044,0.000465044,0.000465044
76,690.655,0.04579,1.38604,1.2599,0.6108,0.22009,0.18409,0.05098,0.07125,2.25669,1.85748,0.000459045,0.000459045,0.000459045
77,698.382,0.0448,1.3328,1.28118,0.12258,0.31258,0.15866,0.04682,0.07179,2.27909,1.89778,0.000453046,0.000453046,0.000453046
78,706.146,0.04533,1.31622,1.27824,0.12103,0.24808,0.16499,0.05239,0.06974,2.33274,1.80563,0.000447046,0.000447046,0.000447046
79,713.848,0.04567,1.33099,1.2245,0.29871,0.23103,0.19874,0.05704,0.06839,2.40509,1.75933,0.000441047,0.000441047,0.000441047
80,721.585,0.04432,1.28268,1.28967,0.32287,0.24806,0.20785,0.05635,0.06854,2.37458,1.76955,0.000435047,0.000435047,0.000435047
81,729.302,0.04369,1.29715,1.29465,0.18493,0.28574,0.19848,0.05916,0.06867,2.36543,1.80944,0.000429048,0.000429048,0.000429048
82,737.054,0.04385,1.26177,1.20792,0.157,0.25648,0.16283,0.04331,0.07182,2.2988,1.89647,0.000423049,0.000423049,0.000423049
83,744.792,0.04201,1.23012,1.19382,0.18291,0.26193,0.18431,0.04842,0.06916,2.18376,1.80954,0.000417049,0.000417049,0.000417049
84,752.512,0.04459,1.22629,1.30309,0.50954,0.22717,0.20871,0.0535,0.0702,2.18022,1.83919,0.00041105,0.00041105,0.00041105
85,760.242,0.04333,1.18645,1.25303,0.31562,0.24176,0.16485,0.04802,0.07194,2.17587,1.89783,0.00040505,0.00040505,0.00040505
86,768.016,0.04315,1.19811,1.24485,0.15258,0.25805,0.16483,0.04687,0.07135,2.27924,1.90181,0.000399051,0.000399051,0.000399051
87,775.736,0.04462,1.18696,1.25479,0.21133,0.28741,0.20326,0.05653,0.06944,2.21939,1.81841,0.000393052,0.000393052,0.000393052
88,783.469,0.04304,1.15803,1.2284,0.21823,0.32916,0.20597,0.05514,0.06953,2.09786,1.80562,0.000387052,0.000387052,0.000387052
89,791.195,0.04435,1.18041,1.2664,0.20871,0.29715,0.20658,0.05938,0.07287,2.15149,1.95916,0.000381053,0.000381053,0.000381053
90,798.94,0.04501,1.22501,1.22934,0.2359,0.28496,0.17804,0.05542,0.07488,2.28165,2.10474,0.000375053,0.000375053,0.000375053
91,806.677,0.04336,1.15616,1.2384,0.17633,0.28172,0.21438,0.05706,0.07326,2.04272,2.02969,0.000369054,0.000369054,0.000369054
92,814.411,0.04218,1.13755,1.20794,0.12988,0.23064,0.16859,0.04806,0.07155,2.09254,1.91233,0.000363055,0.000363055,0.000363055
93,822.154,0.04288,1.12062,1.24193,0.126,0.23711,0.15383,0.04274,0.07016,2.18972,1.86199,0.000357055,0.000357055,0.000357055
94,829.961,0.0435,1.1474,1.22986,0.12272,0.19436,0.12995,0.03768,0.07166,2.23692,1.90665,0.000351056,0.000351056,0.000351056
95,837.688,0.04171,1.11201,1.22906,0.4461,0.17284,0.13938,0.03838,0.07189,2.25332,1.91884,0.000345056,0.000345056,0.000345056
96,845.396,0.03999,1.08384,1.2329,0.31516,0.1829,0.15404,0.0375,0.07108,2.16578,1.90025,0.000339057,0.000339057,0.000339057
97,853.135,0.04418,1.14212,1.25417,0.15271,0.2161,0.13956,0.03831,0.07035,2.19122,1.8871,0.000333058,0.000333058,0.000333058
98,860.906,0.04309,1.12435,1.21788,0.12403,0.21452,0.12245,0.04082,0.06945,2.25734,1.90364,0.000327058,0.000327058,0.000327058
99,868.634,0.04178,1.10294,1.25024,0.16668,0.28357,0.15917,0.05374,0.06945,2.25245,1.88032,0.000321059,0.000321059,0.000321059
100,876.351,0.04066,1.081,1.19056,0.54256,0.22036,0.18004,0.06155,0.07057,2.2752,1.93727,0.000315059,0.000315059,0.000315059
101,884.084,0.0424,1.07442,1.21994,0.41476,0.20566,0.17449,0.06357,0.07117,2.3059,1.98557,0.00030906,0.00030906,0.00030906
102,891.839,0.04028,1.04734,1.18517,0.22589,0.24087,0.19163,0.0735,0.07004,2.30565,1.94027,0.000303061,0.000303061,0.000303061
103,899.775,0.0411,1.04513,1.18783,0.42918,0.21264,0.21246,0.08037,0.07016,2.1019,1.90615,0.000297061,0.000297061,0.000297061
104,910.072,0.042,1.02653,1.21389,0.17661,0.27778,0.15431,0.04967,0.07087,2.07339,1.89885,0.000291062,0.000291062,0.000291062
105,917.782,0.0414,1.06038,1.23771,0.15734,0.25399,0.14204,0.046,0.07035,2.10816,1.86662,0.000285062,0.000285062,0.000285062
106,925.556,0.04124,1.03829,1.16732,0.15514,0.21409,0.15437,0.05399,0.06974,2.14795,1.88687,0.000279063,0.000279063,0.000279063
107,933.304,0.04109,1.02749,1.22391,0.22194,0.16378,0.16604,0.05555,0.07087,2.18241,1.92456,0.000273064,0.000273064,0.000273064
108,941.056,0.04124,0.99259,1.22114,0.20357,0.16513,0.16424,0.05295,0.071,2.17048,1.95211,0.000267064,0.000267064,0.000267064
109,948.819,0.03963,0.99191,1.18266,0.1728,0.18223,0.16411,0.04895,0.071,2.15559,1.94613,0.000261065,0.000261065,0.000261065
110,956.589,0.04157,1.02503,1.17367,0.26588,0.21087,0.13801,0.04269,0.07295,2.12986,2.01725,0.000255065,0.000255065,0.000255065
111,964.282,0.03976,0.99099,1.16024,0.14156,0.20685,0.14029,0.04506,0.0726,2.02914,2.01507,0.000249066,0.000249066,0.000249066
112,971.999,0.03962,0.95065,1.18893,0.13049,0.21224,0.14009,0.0428,0.07246,2.03139,2.00368,0.000243067,0.000243067,0.000243067
113,979.717,0.03841,0.92967,1.1397,0.14426,0.2594,0.14649,0.04306,0.07125,2.13613,1.94092,0.000237067,0.000237067,0.000237067
114,987.473,0.04216,1.03546,1.19446,0.10006,0.19515,0.12385,0.03559,0.07172,2.37243,1.94181,0.000231068,0.000231068,0.000231068
115,995.201,0.03894,0.94695,1.146,0.10543,0.18912,0.12844,0.03778,0.07116,2.32213,1.95433,0.000225068,0.000225068,0.000225068
116,1002.94,0.04008,0.97535,1.17826,0.13502,0.2015,0.13964,0.04394,0.07056,2.23317,1.93643,0.000219069,0.000219069,0.000219069
117,1010.72,0.04087,0.97562,1.16559,0.13449,0.19989,0.14344,0.04653,0.07138,2.24566,1.98152,0.00021307,0.00021307,0.00021307
118,1018.51,0.03989,0.91805,1.17948,0.1264,0.27391,0.14539,0.0455,0.07147,2.35608,2.01706,0.00020707,0.00020707,0.00020707
119,1026.25,0.03878,0.91338,1.17167,0.27577,0.23425,0.14217,0.04063,0.07011,2.55827,2.00669,0.000201071,0.000201071,0.000201071
120,1034,0.03881,0.89184,1.19615,0.27913,0.16544,0.13372,0.04062,0.06994,2.51803,2.00684,0.000195071,0.000195071,0.000195071
121,1041.72,0.03961,0.94504,1.16149,0.11978,0.26344,0.14882,0.04476,0.07001,2.38633,1.99727,0.000189072,0.000189072,0.000189072
122,1050.77,0.039,0.90094,1.15155,0.15038,0.14106,0.14044,0.04281,0.06962,2.15613,1.93865,0.000183073,0.000183073,0.000183073
123,1058.53,0.03937,0.9212,1.17177,0.10242,0.23466,0.14779,0.0429,0.06867,2.15955,1.9035,0.000177073,0.000177073,0.000177073
124,1066.27,0.03938,0.8981,1.18721,0.11597,0.25389,0.15003,0.04593,0.06825,2.26969,1.89776,0.000171074,0.000171074,0.000171074
125,1074,0.03844,0.90423,1.15511,0.12094,0.29237,0.13755,0.04318,0.06782,2.3962,1.85106,0.000165074,0.000165074,0.000165074
126,1081.8,0.04003,0.89118,1.17094,0.28033,0.2456,0.12934,0.04213,0.06776,2.35551,1.84702,0.000159075,0.000159075,0.000159075
127,1089.55,0.03858,0.91503,1.16259,0.1265,0.25179,0.13365,0.04337,0.06788,2.2527,1.86171,0.000153076,0.000153076,0.000153076
128,1097.28,0.03827,0.88566,1.16701,0.11065,0.26926,0.13248,0.04229,0.06828,2.20382,1.89149,0.000147076,0.000147076,0.000147076
129,1105.04,0.04021,0.91304,1.1651,0.09942,0.26789,0.13224,0.04156,0.06859,2.22431,1.89568,0.000141077,0.000141077,0.000141077
130,1112.9,0.03768,0.88013,1.14122,0.11866,0.2668,0.1376,0.04379,0.06877,2.17558,1.90898,0.000135077,0.000135077,0.000135077
131,1120.61,0.03641,0.87242,1.13973,0.31631,0.13034,0.12578,0.04395,0.06838,2.13497,1.91222,0.000129078,0.000129078,0.000129078
132,1128.32,0.03708,0.85723,1.16737,0.35191,0.14905,0.15609,0.05174,0.06806,2.13588,1.88425,0.000123079,0.000123079,0.000123079
133,1136.07,0.04025,0.9219,1.14508,0.16826,0.20109,0.15173,0.05259,0.06774,2.12514,1.88452,0.000117079,0.000117079,0.000117079
134,1143.85,0.03811,0.86775,1.18628,0.15003,0.20485,0.16166,0.05427,0.06857,2.17488,1.92002,0.00011108,0.00011108,0.00011108
135,1151.58,0.03843,0.86578,1.12485,0.14176,0.20018,0.15351,0.05016,0.06894,2.21479,1.95552,0.00010508,0.00010508,0.00010508
136,1159.32,0.03699,0.81743,1.13487,0.14615,0.18603,0.15099,0.0485,0.06925,2.30166,1.93911,9.9081e-05,9.9081e-05,9.9081e-05
137,1167.07,0.03713,0.81074,1.14755,0.13937,0.19007,0.14651,0.04728,0.06937,2.40915,1.92011,9.30816e-05,9.30816e-05,9.30816e-05
138,1174.87,0.03717,0.82667,1.12543,0.12477,0.21856,0.14995,0.04758,0.0703,2.44181,1.98079,8.70822e-05,8.70822e-05,8.70822e-05
139,1182.59,0.03714,0.82565,1.14812,0.13188,0.21384,0.14242,0.04727,0.07092,2.43325,2.01022,8.10828e-05,8.10828e-05,8.10828e-05
140,1190.32,0.03665,0.80825,1.12508,0.13204,0.26609,0.14579,0.04525,0.07145,2.47644,2.03031,7.50834e-05,7.50834e-05,7.50834e-05
141,1199.77,0.03657,0.82778,1.12666,0.15076,0.28392,0.15106,0.04479,0.0719,2.5594,2.03808,6.9084e-05,6.9084e-05,6.9084e-05
142,1207.74,0.03742,0.8446,1.10886,0.13936,0.23924,0.12884,0.04173,0.07099,2.55318,1.99749,6.30846e-05,6.30846e-05,6.30846e-05
143,1215.51,0.03754,0.83891,1.14779,0.13994,0.24043,0.1269,0.04074,0.07079,2.53293,1.99235,5.70852e-05,5.70852e-05,5.70852e-05
144,1223.26,0.03731,0.81731,1.13317,0.15436,0.25645,0.12869,0.04163,0.07075,2.49903,1.99888,5.10858e-05,5.10858e-05,5.10858e-05
145,1230.99,0.03806,0.81458,1.12984,0.16172,0.24943,0.14134,0.04334,0.07081,2.45095,2.0217,4.50864e-05,4.50864e-05,4.50864e-05
146,1238.79,0.03604,0.79515,1.11139,0.16352,0.26354,0.14335,0.04529,0.07037,2.36848,2.02176,3.9087e-05,3.9087e-05,3.9087e-05
147,1246.54,0.03591,0.79608,1.11478,0.16852,0.28977,0.1449,0.0444,0.07014,2.34514,2.03442,3.30876e-05,3.30876e-05,3.30876e-05
148,1254.25,0.03603,0.79482,1.14021,0.16369,0.29106,0.14585,0.04297,0.07013,2.34541,2.02297,2.70882e-05,2.70882e-05,2.70882e-05
149,1261.98,0.03644,0.78282,1.13121,0.16323,0.29106,0.14571,0.04544,0.06993,2.36379,2.01198,2.10888e-05,2.10888e-05,2.10888e-05
150,1269.75,0.03799,0.79672,1.13065,0.16104,0.29442,0.14508,0.0448,0.06961,2.4429,2.00702,1.50894e-05,1.50894e-05,1.50894e-05
