epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91319,0.09954,7.505,3.22655,0.01875,0.14526,0.01825,0.00412,0.08721,5.31908,2.3781,0.00015453,0.00015453,0.00015453
2,7.88269,0.08186,5.21497,1.89612,0.32399,0.0853,0.03157,0.00747,0.07337,3.98089,1.60274,0.00031605,0.00031605,0.00031605
3,11.7243,0.06813,3.93514,1.56801,0.77442,0.09603,0.06171,0.01728,0.06567,3.16284,1.62932,0.000475411,0.000475411,0.000475411
4,15.4743,0.0624,2.99049,1.50143,0.80621,0.14222,0.11162,0.03727,0.06162,2.91803,1.4662,0.000632611,0.000632611,0.000632611
5,20.1918,0.05969,2.63194,1.51739,0.63674,0.17199,0.08973,0.02934,0.06318,2.57176,1.55044,0.000787652,0.000787652,0.000787652
6,23.7359,0.06065,2.51063,1.50325,0.65319,0.17537,0.09185,0.02998,0.06112,2.75496,1.62791,0.000879003,0.000879003,0.000879003
7,27.3488,0.05967,2.38013,1.47533,0.53235,0.2284,0.10955,0.0361,0.05702,2.67125,1.47649,0.000873004,0.000873004,0.000873004
8,30.8756,0.05677,2.368,1.41256,0.7811,0.166,0.09171,0.02946,0.05937,2.85762,1.52424,0.000867004,0.000867004,0.000867004
9,34.3815,0.0549,2.26449,1.39411,0.77882,0.19081,0.10095,0.03415,0.0598,2.63451,1.55086,0.000861005,0.000861005,0.000861005
10,37.8858,0.05562,2.21241,1.37477,0.80306,0.18352,0.13199,0.04493,0.05983,2.55111,1.59559,0.000855005,0.000855005,0.000855005
11,41.6376,0.05388,2.10276,1.36143,0.80654,0.18213,0.14033,0.04647,0.05968,2.59427,1.56885,0.000849006,0.000849006,0.000849006
12,45.4357,0.0538,2.05135,1.31485,0.79853,0.16129,0.14603,0.05557,0.05845,2.49997,1.5268,0.000843007,0.000843007,0.000843007
