epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.5175,0.0922,9.31857,3.08513,0,0,0,0,0.1163,10.1998,3.85145,3.636e-05,3.636e-05,3.636e-05
2,43.9039,0.087,8.23675,2.83746,0.00129,0.05017,0.00079,0.00022,0.09068,6.84418,2.54185,8.12701e-05,8.12701e-05,8.12701e-05
3,49.0476,0.06759,5.45831,1.77402,0.73879,0.07012,0.01317,0.0031,0.08355,8.35086,2.20801,0.00012558,0.00012558,0.00012558
4,54.0076,0.06167,4.03253,1.5796,0.74951,0.05177,0.01845,0.00438,0.07642,5.2373,2.17932,0.00016929,0.00016929,0.00016929
5,58.5883,0.06077,3.78154,1.64394,0.52621,0.11205,0.03198,0.00694,0.07585,4.36864,2.22692,0.000212401,0.000212401,0.000212401
6,63.0086,0.05985,3.65595,1.72789,0.33726,0.13531,0.03341,0.00834,0.06856,5.00154,2.06339,0.000254911,0.000254911,0.000254911
7,67.332,0.05779,3.23379,1.67604,0.45645,0.10843,0.01948,0.00477,0.07526,4.30916,2.995,0.000296821,0.000296821,0.000296821
8,71.5839,0.05851,3.29197,1.67436,0.32867,0.07217,0.02345,0.00548,0.08135,4.3854,3.48594,0.000338132,0.000338132,0.000338132
9,75.6099,0.05849,3.02015,1.6251,0.30721,0.04788,0.01031,0.00233,0.08824,5.31813,4.0362,0.000378842,0.000378842,0.000378842
10,79.5475,0.06563,3.21039,1.86033,0.02622,0.16616,0.0161,0.00476,0.07157,46.3336,2.61964,0.000418953,0.000418953,0.000418953
11,83.3661,0.06073,3.07089,1.82063,0.47607,0.07592,0.033,0.00816,0.07501,4.27643,2.41725,0.000458463,0.000458463,0.000458463
12,87.3249,0.05855,2.84654,1.76437,0.00786,0.04623,0.00277,0.00082,0.07579,inf,2.3231,0.000497374,0.000497374,0.000497374
13,91.1805,0.05732,2.88984,1.60229,0.02966,0.22103,0.02916,0.00728,0.07717,16.7564,2.32635,0.000535685,0.000535685,0.000535685
14,95.1322,0.05908,2.86283,1.67176,0.18659,0.1002,0.02302,0.00627,0.07767,inf,2.16407,0.000573395,0.000573395,0.000573395
15,99.1494,0.05792,2.79466,1.69908,0.00723,0.05061,0.00377,0.00118,0.07482,inf,2.30368,0.000610506,0.000610506,0.000610506
16,102.988,0.05829,2.69813,1.75867,0.01147,0.0505,0.00695,0.0023,0.0737,inf,2.11145,0.000647017,0.000647017,0.000647017
17,106.901,0.05592,2.69263,1.69615,0.03624,0.0433,0.01667,0.0052,0.07383,inf,3.85618,0.000682928,0.000682928,0.000682928
18,111.002,0.05704,2.60022,1.73535,2e-05,0.01587,1e-05,0,0.09677,inf,23.1465,0.000718239,0.000718239,0.000718239
19,114.857,0.05722,2.59129,1.73881,0.3376,0.07818,0.03294,0.01099,0.08111,inf,10.8295,0.00075295,0.00075295,0.00075295
20,119.297,0.0602,2.62783,1.71128,0.19525,0.02816,0.02172,0.00495,0.09572,inf,8.62346,0.000787061,0.000787061,0.000787061
21,123.064,0.05903,2.5893,1.81751,0.01492,0.02449,0.01119,0.00234,0.0979,inf,7.46229,0.000789012,0.000789012,0.000789012
22,126.767,0.0582,2.49871,1.80668,0.31968,0.04216,0.0152,0.00436,0.09308,inf,10.311,0.000783013,0.000783013,0.000783013
23,132.031,0.05803,2.44929,1.72049,0.74938,0.04712,0.02135,0.00643,0.09625,inf,11.9237,0.000777013,0.000777013,0.000777013
24,135.844,0.06071,2.5213,1.76042,0.61572,0.02359,0.02093,0.00677,0.0916,14.9053,3.03567,0.000771014,0.000771014,0.000771014
25,139.533,0.05833,2.50142,1.67536,0.61596,0.05918,0.03035,0.00818,0.08283,3.68609,2.298,0.000765014,0.000765014,0.000765014
26,143.287,0.05811,2.51152,1.72951,0.7514,0.09359,0.04303,0.01166,0.07295,3.403,1.93559,0.000759015,0.000759015,0.000759015
27,147.387,0.05662,2.42931,1.66796,0.79427,0.0992,0.06776,0.02118,0.07095,3.85785,1.93407,0.000753016,0.000753016,0.000753016
28,151.335,0.0549,2.38444,1.6774,0.78011,0.07338,0.0559,0.01633,0.07525,3.53376,2.0303,0.000747016,0.000747016,0.000747016
29,155.036,0.05763,2.42566,1.6742,0.76634,0.05821,0.02817,0.0083,0.08164,3.81318,2.14306,0.000741017,0.000741017,0.000741017
30,161.386,0.0564,2.4502,1.63533,0.15922,0.03987,0.00828,0.00272,0.09472,6.40615,2.85397,0.000735017,0.000735017,0.000735017
31,165.128,0.05651,2.45832,1.70837,0.63803,0.09012,0.05814,0.01608,0.07463,3.26445,2.07228,0.000729018,0.000729018,0.000729018
32,168.903,0.05519,2.36184,1.62528,0.78021,0.0423,0.03938,0.01409,0.0743,5.73734,1.99518,0.000723019,0.000723019,0.000723019
33,172.672,0.0544,2.29252,1.63333,0.75427,0.04791,0.02654,0.00754,0.07685,4.97215,2.05752,0.000717019,0.000717019,0.000717019
34,176.505,0.05529,2.29098,1.61454,0.02943,0.11077,0.03402,0.01327,0.08429,5.80386,2.1924,0.00071102,0.00071102,0.00071102
35,180.221,0.0565,2.24441,1.60579,0.01732,0.18119,0.02119,0.00535,0.07925,4.21157,1.91252,0.00070502,0.00070502,0.00070502
36,184.048,0.0551,2.2245,1.62987,0.32759,0.06278,0.02603,0.00765,0.07226,3.48884,1.90435,0.000699021,0.000699021,0.000699021
37,187.789,0.05884,2.32781,1.68628,0.6515,0.09034,0.06614,0.01955,0.0722,2.78302,1.91683,0.000693022,0.000693022,0.000693022
38,191.547,0.05525,2.20623,1.62235,0.49203,0.07626,0.06169,0.01713,0.07443,3.05495,1.92469,0.000687022,0.000687022,0.000687022
39,195.271,0.05694,2.35071,1.69334,0.50133,0.08473,0.06965,0.01806,0.07308,3.01138,1.95147,0.000681023,0.000681023,0.000681023
40,199.107,0.05282,2.22064,1.59853,0.16319,0.11966,0.02879,0.00915,0.07023,22.4517,1.83219,0.000675023,0.000675023,0.000675023
41,202.79,0.05478,2.21362,1.56556,0.18722,0.11561,0.05165,0.01408,0.07131,3.20865,1.92232,0.000669024,0.000669024,0.000669024
42,206.523,0.05427,2.1438,1.65711,0.6473,0.0995,0.08131,0.02536,0.06993,11.7129,2.41983,0.000663025,0.000663025,0.000663025
43,210.487,0.05357,2.16459,1.60762,0.65486,0.09125,0.07291,0.02245,0.0715,3.24633,1.90671,0.000657025,0.000657025,0.000657025
