epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.3948,0.09546,8.66661,2.76609,0.88471,0.0283,0.01945,0.00512,0.07579,6.18438,2.07551,0.00015453,0.00015453,0.00015453
2,94.9898,0.07107,4.45194,1.75608,0.66028,0.09933,0.04621,0.01407,0.06853,8.31308,1.80453,0.00031605,0.00031605,0.00031605
3,99.5079,0.06393,3.77657,1.67664,0.15657,0.17095,0.01038,0.00388,0.06099,33.4164,1.84718,0.000475411,0.000475411,0.000475411
4,103.238,0.06401,4.03967,1.75376,0.75853,0.08671,0.03907,0.01225,0.07002,5.64318,2.11653,0.000632611,0.000632611,0.000632611
5,106.767,0.06414,3.5135,1.74681,0.32688,0.04294,0.03733,0.0118,0.06801,3.54352,2.02895,0.000787652,0.000787652,0.000787652
6,110.337,0.07014,3.45817,1.83034,0.14908,0.11294,0.00445,0.00148,0.06658,57.3302,2.1769,0.000879003,0.000879003,0.000879003
7,114.073,0.06714,3.15228,1.77599,0.00264,0.12001,0.00189,0.00062,0.07026,inf,3.2562,0.000873004,0.000873004,0.000873004
8,117.744,0.06713,3.15021,1.76926,0.30784,0.13784,0.016,0.00457,0.06634,18.4913,2.12407,0.000867004,0.000867004,0.000867004
9,121.446,0.0658,2.97016,1.79313,0.16175,0.0784,0.01324,0.00365,0.0689,38.1886,2.38003,0.000861005,0.000861005,0.000861005
10,124.976,0.06435,2.89728,1.70618,0.48146,0.11078,0.05485,0.01679,0.06746,5.03642,1.98554,0.000855005,0.000855005,0.000855005
11,128.763,0.06333,2.65445,1.6703,0.61774,0.15126,0.05527,0.01865,0.06697,3.93288,1.94897,0.000849006,0.000849006,0.000849006
12,132.463,0.06372,2.64128,1.6775,0.61011,0.0887,0.03961,0.01239,0.06799,4.32431,2.04576,0.000843007,0.000843007,0.000843007
13,136.195,0.06536,2.58908,1.76206,0.79307,0.11017,0.0867,0.02994,0.06511,3.11038,1.96447,0.000837007,0.000837007,0.000837007
14,139.987,0.06425,2.56385,1.7408,0.78662,0.12627,0.11946,0.03846,0.06451,2.79516,1.92272,0.000831008,0.000831008,0.000831008
15,143.847,0.062,2.48211,1.73825,0.57671,0.12978,0.11594,0.03244,0.06588,3.32213,1.92982,0.000825008,0.000825008,0.000825008
16,147.348,0.06084,2.42241,1.70991,0.69814,0.16554,0.10473,0.03058,0.06462,3.11098,1.98568,0.000819009,0.000819009,0.000819009
17,150.923,0.06231,2.46328,1.75587,0.35355,0.15065,0.06964,0.02039,0.06733,4.72207,2.0818,0.00081301,0.00081301,0.00081301
18,154.445,0.06105,2.33975,1.69893,0.36717,0.09452,0.07341,0.01934,0.06499,3.25099,1.96747,0.00080701,0.00080701,0.00080701
19,157.874,0.05886,2.30656,1.6658,0.22085,0.10812,0.08503,0.02837,0.06372,3.49895,1.88789,0.000801011,0.000801011,0.000801011
20,161.276,0.05987,2.22749,1.71246,0.51633,0.15864,0.09645,0.02575,0.06314,4.31161,1.90182,0.000795011,0.000795011,0.000795011
21,164.841,0.0605,2.22515,1.71102,0.66184,0.11955,0.09249,0.02731,0.06497,3.87095,1.93421,0.000789012,0.000789012,0.000789012
22,168.712,0.05839,2.13614,1.63714,0.75929,0.20519,0.12768,0.04608,0.06149,2.97248,1.873,0.000783013,0.000783013,0.000783013
23,172.46,0.05726,2.13371,1.62656,0.48371,0.17273,0.13393,0.0502,0.06256,2.77858,1.92183,0.000777013,0.000777013,0.000777013
24,176.165,0.05852,2.18219,1.69617,0.81469,0.09802,0.09476,0.0294,0.06342,2.9151,1.91658,0.000771014,0.000771014,0.000771014
25,179.693,0.05806,2.07764,1.58412,0.80798,0.11381,0.11814,0.03564,0.06515,2.64596,1.93747,0.000765014,0.000765014,0.000765014
26,183.091,0.05698,2.0951,1.64196,0.83466,0.08694,0.10087,0.03023,0.06378,2.83288,1.94223,0.000759015,0.000759015,0.000759015
27,187.799,0.05742,2.02756,1.58955,0.85675,0.1088,0.1218,0.03841,0.06172,2.89287,1.88991,0.000753016,0.000753016,0.000753016
28,191.341,0.05754,2.00324,1.6394,0.24063,0.19632,0.14825,0.05319,0.06292,2.5444,1.99155,0.000747016,0.000747016,0.000747016
29,195.91,0.05847,2.02373,1.64122,0.67166,0.14643,0.14112,0.04581,0.06495,2.65838,1.93558,0.000741017,0.000741017,0.000741017
30,199.405,0.05758,1.96677,1.64498,0.4039,0.11097,0.1158,0.03831,0.06308,2.76084,1.93742,0.000735017,0.000735017,0.000735017
31,203.142,0.05705,1.93505,1.63201,0.35905,0.17618,0.11781,0.03862,0.06532,2.77436,2.03657,0.000729018,0.000729018,0.000729018
32,207.523,0.05603,2.02526,1.60485,0.25264,0.1771,0.12622,0.04159,0.06562,2.7297,2.01332,0.000723019,0.000723019,0.000723019
33,210.966,0.0561,1.92759,1.62968,0.24384,0.20387,0.13538,0.0442,0.06366,2.52279,1.94349,0.000717019,0.000717019,0.000717019
34,214.477,0.05525,1.84836,1.5577,0.27025,0.15567,0.13929,0.04702,0.06667,2.58357,2.01356,0.00071102,0.00071102,0.00071102
35,217.941,0.05524,1.84868,1.54773,0.36791,0.15392,0.13837,0.04021,0.0676,2.91745,2.03727,0.00070502,0.00070502,0.00070502
36,221.368,0.05504,1.79932,1.55641,0.32923,0.2326,0.1601,0.04427,0.06562,2.74501,1.98655,0.000699021,0.000699021,0.000699021
37,224.808,0.05506,1.87064,1.59634,0.66207,0.12427,0.11451,0.03629,0.06513,2.56101,2.04195,0.000693022,0.000693022,0.000693022
38,228.315,0.05472,1.82559,1.54945,0.17963,0.22366,0.14295,0.05397,0.06739,2.94927,2.0662,0.000687022,0.000687022,0.000687022
39,232.026,0.05391,1.83892,1.57834,0.33825,0.17675,0.17742,0.06464,0.06437,2.71973,2.01777,0.000681023,0.000681023,0.000681023
40,235.988,0.05412,1.80497,1.58521,0.30922,0.16542,0.16323,0.04879,0.06179,2.38266,1.9993,0.000675023,0.000675023,0.000675023
41,239.449,0.05309,1.75501,1.57221,0.552,0.16744,0.17694,0.0656,0.06198,2.41622,1.99456,0.000669024,0.000669024,0.000669024
42,243.19,0.05221,1.70389,1.54922,0.20033,0.23831,0.18613,0.06938,0.0628,2.70379,1.89652,0.000663025,0.000663025,0.000663025
43,246.833,0.05004,1.60429,1.47904,0.46398,0.1872,0.17742,0.06352,0.06486,2.664,1.90941,0.000657025,0.000657025,0.000657025
44,250.304,0.05089,1.60908,1.49464,0.30307,0.17151,0.18562,0.06337,0.06532,2.66377,2.02052,0.000651026,0.000651026,0.000651026
