epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.127,3.86283,7.15889,3.03463,2e-05,0.00135,1e-05,0,3.09861,4.37496,2.30256,0.00015453,0.00015453,0.00015453
2,134.661,2.93036,5.94965,1.92485,4e-05,0.0027,2e-05,1e-05,2.50447,4.22644,1.77876,0.000316575,0.000316575,0.000316575
3,137.117,2.59159,5.10616,1.65163,0.00318,0.12685,0.00564,0.00111,2.35136,4.02707,1.59327,0.000477,0.000477,0.000477
4,139.619,2.42057,4.36411,1.60832,0.00792,0.2652,0.08303,0.01783,2.42314,3.71648,1.72034,0.000635806,0.000635806,0.000635806
5,142.115,2.48909,4.45649,1.63573,0.008,0.26411,0.05457,0.01507,2.46586,3.56314,1.76963,0.000792992,0.000792992,0.000792992
6,144.592,2.38726,4.13295,1.56814,0.79583,0.06448,0.05583,0.01757,2.53796,3.30333,1.90336,0.000886502,0.000886502,0.000886502
7,146.964,2.41767,4.21337,1.58238,0.63863,0.08919,0.06277,0.01867,2.45783,3.10212,1.83243,0.000882003,0.000882003,0.000882003
8,149.669,2.28947,3.9762,1.54311,0.63602,0.10681,0.09417,0.03054,2.41148,3.0724,1.79033,0.000877503,0.000877503,0.000877503
9,152.142,2.32264,3.93674,1.63413,0.49063,0.10333,0.05591,0.01838,2.37014,3.10548,1.80066,0.000873004,0.000873004,0.000873004
10,154.609,2.3128,3.85995,1.52785,0.57476,0.15159,0.09518,0.02769,2.37254,2.9084,1.68894,0.000868504,0.000868504,0.000868504
11,157.125,2.28732,3.58614,1.49033,0.64341,0.11023,0.07743,0.02527,2.31125,2.85501,1.6334,0.000864004,0.000864004,0.000864004
12,159.543,2.20424,3.6296,1.40903,0.45149,0.15526,0.13054,0.04508,2.30934,2.9417,1.63353,0.000859505,0.000859505,0.000859505
13,161.972,2.22999,3.48021,1.45016,0.36353,0.16505,0.09017,0.02876,2.24708,2.94876,1.53455,0.000855005,0.000855005,0.000855005
14,164.351,2.1603,3.43078,1.41825,0.35706,0.12471,0.07086,0.02255,2.36515,2.85946,1.68278,0.000850506,0.000850506,0.000850506
15,166.734,2.15416,3.468,1.44704,0.36471,0.13035,0.08547,0.02858,2.32131,2.77774,1.60891,0.000846006,0.000846006,0.000846006
16,169.236,2.23041,3.3382,1.49112,0.48168,0.10617,0.05203,0.01456,2.49577,2.8436,1.72743,0.000841507,0.000841507,0.000841507
17,171.634,2.12447,3.31076,1.45146,0.66754,0.143,0.08298,0.02396,2.34583,2.72742,1.6239,0.000837007,0.000837007,0.000837007
18,174.031,2.13419,3.19198,1.44109,0.18697,0.15974,0.06352,0.0201,2.34007,2.78821,1.62822,0.000832508,0.000832508,0.000832508
19,176.681,2.08924,3.28285,1.43097,0.43066,0.21631,0.10253,0.03343,2.32533,2.73733,1.66386,0.000828008,0.000828008,0.000828008
20,179.036,2.07804,3.14724,1.42238,0.38357,0.23233,0.11453,0.03383,2.2753,2.7567,1.59125,0.000823509,0.000823509,0.000823509
21,181.468,2.03341,3.06245,1.41238,0.19676,0.15455,0.07426,0.02366,2.27169,2.76362,1.56731,0.000819009,0.000819009,0.000819009
22,183.836,2.06052,3.03329,1.36005,0.50698,0.21603,0.13473,0.04413,2.24441,2.69198,1.53763,0.000814509,0.000814509,0.000814509
23,186.196,2.05474,3.02265,1.3605,0.32714,0.15652,0.12515,0.03487,2.37002,2.78504,1.59052,0.00081001,0.00081001,0.00081001
24,188.549,2.00779,3.00882,1.38132,0.78418,0.10748,0.08158,0.02943,2.37595,2.8003,1.5774,0.00080551,0.00080551,0.00080551
25,190.858,2.10799,2.89583,1.36801,0.79355,0.12357,0.09006,0.03171,2.29986,2.73543,1.49469,0.000801011,0.000801011,0.000801011
26,193.35,2.01081,2.85012,1.39211,0.63991,0.11691,0.08118,0.02793,2.30252,2.76213,1.56153,0.000796511,0.000796511,0.000796511
27,195.696,2.04644,2.75869,1.33018,0.12539,0.21222,0.10635,0.03151,2.29562,2.74674,1.58463,0.000792012,0.000792012,0.000792012
28,197.991,2.00182,2.69284,1.35382,0.36783,0.17884,0.09115,0.02977,2.25841,2.68551,1.57623,0.000787512,0.000787512,0.000787512
29,200.247,2.00893,2.75524,1.38946,0.51991,0.17537,0.11875,0.03961,2.18824,2.69646,1.58706,0.000783013,0.000783013,0.000783013
30,202.89,1.97425,2.74381,1.36272,0.34171,0.16332,0.09697,0.0343,2.33116,2.78036,1.62369,0.000778513,0.000778513,0.000778513
31,205.308,1.95579,2.66583,1.34874,0.47787,0.16398,0.08402,0.0279,2.35408,2.80842,1.68443,0.000774013,0.000774013,0.000774013
32,207.718,1.92906,2.60748,1.33188,0.36898,0.18658,0.10767,0.03666,2.34667,2.70766,1.67912,0.000769514,0.000769514,0.000769514
