epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.399,3.70397,6.10473,3.15479,0.00217,0.11323,0.00192,0.00031,3.28518,4.39405,2.86169,7.272e-05,7.272e-05,7.272e-05
2,71.0001,3.54117,5.87407,2.56117,0.00485,0.1575,0.00762,0.00176,3.0007,4.32357,2.27828,0.00015402,0.00015402,0.00015402
3,73.4892,3.23093,5.71262,1.95702,0.00666,0.21141,0.02229,0.00655,2.81453,4.1792,1.8956,0.00023478,0.00023478,0.00023478
4,75.9084,2.94762,5.66434,1.63763,0.00607,0.20336,0.04748,0.0106,2.66194,4.10102,1.71863,0.000315,0.000315,0.000315
5,78.6052,2.63058,5.34082,1.4477,0.78402,0.04386,0.05231,0.0101,2.50984,3.88688,1.60816,0.000394681,0.000394681,0.000394681
6,81.0794,2.37215,4.87621,1.39219,0.78671,0.10679,0.05587,0.01439,2.47065,3.58205,1.44559,0.000473821,0.000473821,0.000473821
7,83.5311,2.46183,4.7066,1.35801,0.77944,0.09333,0.05051,0.01317,2.37944,3.48866,1.40375,0.000552421,0.000552421,0.000552421
8,85.9669,2.32538,4.35671,1.36069,0.6375,0.12197,0.07467,0.02133,2.34156,3.2949,1.37075,0.000630481,0.000630481,0.000630481
9,88.4283,2.20164,3.93763,1.31669,0.65137,0.09803,0.08605,0.02802,2.23649,3.11078,1.28357,0.000708002,0.000708002,0.000708002
10,90.8338,2.21343,3.91862,1.35472,0.79876,0.11554,0.09345,0.03054,2.25533,3.03485,1.3054,0.000784982,0.000784982,0.000784982
11,93.2733,2.18042,3.83982,1.33878,0.79817,0.11755,0.10054,0.03323,2.23322,2.97735,1.32521,0.000861423,0.000861423,0.000861423
12,95.7397,2.17564,3.54338,1.32872,0.79835,0.15162,0.11343,0.04057,2.30167,2.93847,1.38791,0.000876003,0.000876003,0.000876003
13,98.1343,2.15426,3.52718,1.30921,0.78248,0.13245,0.09746,0.04007,2.25906,2.95701,1.3493,0.000873004,0.000873004,0.000873004
14,100.489,2.11611,3.43202,1.24518,0.78349,0.11424,0.10297,0.03784,2.17067,2.87618,1.2965,0.000870004,0.000870004,0.000870004
15,102.84,2.05257,3.23019,1.2603,0.8157,0.12475,0.11328,0.04026,2.15782,2.8587,1.29784,0.000867004,0.000867004,0.000867004
16,105.497,2.05075,3.23905,1.2484,0.40495,0.26296,0.12918,0.04475,2.21727,2.82935,1.31368,0.000864004,0.000864004,0.000864004
17,107.901,1.95748,3.05932,1.21466,0.53178,0.11898,0.11108,0.04145,2.16606,2.73133,1.26908,0.000861005,0.000861005,0.000861005
18,110.271,1.96289,2.99829,1.23142,0.51825,0.13509,0.09687,0.0337,2.19904,2.88355,1.30857,0.000858005,0.000858005,0.000858005
19,112.614,1.9472,2.91091,1.20988,0.52072,0.14198,0.09857,0.03293,2.23149,2.80532,1.37809,0.000855005,0.000855005,0.000855005
20,114.955,1.92497,2.83182,1.2228,0.52743,0.16059,0.12361,0.04179,2.24781,2.80372,1.46448,0.000852006,0.000852006,0.000852006
21,117.503,1.91521,2.76438,1.20869,0.51847,0.15441,0.11686,0.03892,2.17884,2.79877,1.43419,0.000849006,0.000849006,0.000849006
22,119.851,1.85992,2.68167,1.19047,0.66349,0.17454,0.12473,0.03827,2.14417,2.73503,1.38034,0.000846006,0.000846006,0.000846006
23,122.203,1.95417,2.68552,1.19422,0.66431,0.14851,0.11264,0.03607,2.10378,2.68444,1.35122,0.000843007,0.000843007,0.000843007
24,124.568,1.87685,2.56364,1.18971,0.53231,0.21716,0.11161,0.0338,2.12853,2.73628,1.37145,0.000840007,0.000840007,0.000840007
25,127.148,1.87579,2.58149,1.1844,0.58072,0.18763,0.12359,0.04013,2.13985,2.70831,1.35588,0.000837007,0.000837007,0.000837007
26,129.527,1.85492,2.49251,1.15868,0.60392,0.20189,0.12382,0.04254,2.19569,2.75512,1.38206,0.000834007,0.000834007,0.000834007
27,131.866,1.83495,2.44625,1.14044,0.42284,0.2135,0.11699,0.03958,2.16788,2.76186,1.38418,0.000831008,0.000831008,0.000831008
28,134.265,1.86446,2.40726,1.15512,0.80093,0.1882,0.13177,0.03957,2.11701,2.61135,1.35232,0.000828008,0.000828008,0.000828008
29,136.603,1.87494,2.3945,1.18916,0.51346,0.17475,0.12152,0.0388,2.08676,2.518,1.2934,0.000825008,0.000825008,0.000825008
30,138.927,1.84587,2.33736,1.17805,0.37532,0.18619,0.12984,0.04355,2.10936,2.55011,1.34872,0.000822009,0.000822009,0.000822009
31,141.249,1.76881,2.32039,1.15301,0.14826,0.33306,0.14357,0.04282,2.1833,2.52969,1.35579,0.000819009,0.000819009,0.000819009
32,143.64,1.82777,2.26563,1.15015,0.22192,0.25892,0.13216,0.04138,2.21763,2.58057,1.38111,0.000816009,0.000816009,0.000816009
33,145.976,1.78286,2.22491,1.13251,0.11366,0.29207,0.11551,0.0391,2.28244,2.56489,1.41618,0.00081301,0.00081301,0.00081301
34,148.316,1.82935,2.20992,1.13921,0.10029,0.30495,0.1181,0.03878,2.1855,2.54789,1.40086,0.00081001,0.00081001,0.00081001
35,150.844,1.77901,2.15732,1.12406,0.3641,0.17883,0.11428,0.03538,2.25286,2.60808,1.47383,0.00080701,0.00080701,0.00080701
36,153.204,1.76508,2.15718,1.13241,0.1404,0.30485,0.11901,0.04047,2.26809,2.58815,1.44171,0.00080401,0.00080401,0.00080401
