epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.429,3.76149,6.0416,3.241,0.00395,0.14994,0.00509,0.00097,3.25128,4.26697,2.47379,0.00015453,0.00015453,0.00015453
2,136.081,3.27435,5.80314,2.15889,0.00884,0.27006,0.03207,0.00839,2.85298,4.13601,1.82927,0.000316575,0.000316575,0.000316575
3,138.62,2.98252,5.8717,1.65931,0.00755,0.26631,0.03173,0.00959,2.81454,3.96168,1.64483,0.000477,0.000477,0.000477
4,141.2,2.72888,5.63605,1.49416,0.77398,0.05444,0.04182,0.01098,2.57545,3.69374,1.50686,0.000635806,0.000635806,0.000635806
5,143.903,2.50839,4.8556,1.39048,0.63203,0.09008,0.05829,0.01671,2.46394,3.51026,1.44628,0.000792992,0.000792992,0.000792992
6,146.528,2.36516,4.49156,1.37175,0.63069,0.10273,0.07158,0.0207,2.35285,3.27667,1.44984,0.000886502,0.000886502,0.000886502
7,149.111,2.28848,4.25226,1.35873,0.63607,0.10205,0.0788,0.02552,2.37521,3.01411,1.40419,0.000882003,0.000882003,0.000882003
8,151.668,2.30989,4.0516,1.39561,0.63435,0.10677,0.08605,0.02778,2.39222,2.87475,1.41408,0.000877503,0.000877503,0.000877503
9,154.222,2.2136,3.77633,1.36601,0.63944,0.14316,0.09334,0.0319,2.3602,2.79513,1.4085,0.000873004,0.000873004,0.000873004
10,156.877,2.12576,3.6347,1.32138,0.79388,0.18597,0.12607,0.04102,2.27401,2.7609,1.41159,0.000868504,0.000868504,0.000868504
11,159.517,2.17413,3.41736,1.32594,0.67928,0.13244,0.11627,0.04126,2.28727,2.68516,1.41281,0.000864004,0.000864004,0.000864004
12,162.029,2.08219,3.41741,1.24551,0.64679,0.16668,0.12373,0.04267,2.25495,2.74851,1.37242,0.000859505,0.000859505,0.000859505
13,164.506,2.05393,3.33337,1.23191,0.65863,0.13141,0.11441,0.04119,2.25459,2.76622,1.34617,0.000855005,0.000855005,0.000855005
14,166.984,2.04389,3.17949,1.22384,0.63945,0.14248,0.10203,0.03458,2.19385,2.70305,1.30927,0.000850506,0.000850506,0.000850506
15,169.497,2.04349,3.17813,1.2418,0.79942,0.12717,0.11155,0.03733,2.2019,2.66777,1.3053,0.000846006,0.000846006,0.000846006
16,172.081,2.01663,3.14987,1.23929,0.79575,0.14698,0.12363,0.0402,2.21179,2.64578,1.30992,0.000841507,0.000841507,0.000841507
17,174.594,2.00035,3.01062,1.22266,0.8004,0.14349,0.1225,0.03972,2.21362,2.63818,1.35081,0.000837007,0.000837007,0.000837007
18,177.285,1.98348,2.92675,1.22961,0.80763,0.13238,0.11129,0.03817,2.27059,2.61284,1.34737,0.000832508,0.000832508,0.000832508
19,179.779,1.94919,2.81877,1.18907,0.80171,0.1458,0.12026,0.03953,2.27946,2.59995,1.37175,0.000828008,0.000828008,0.000828008
20,182.286,1.91273,2.71978,1.18969,0.79677,0.1283,0.11502,0.03748,2.3129,2.58865,1.41882,0.000823509,0.000823509,0.000823509
21,184.775,1.92497,2.7037,1.20114,0.36516,0.21079,0.11729,0.04121,2.29138,2.57477,1.38948,0.000819009,0.000819009,0.000819009
22,187.301,1.86635,2.57149,1.18321,0.55489,0.19247,0.16215,0.05608,2.26896,2.5507,1.4,0.000814509,0.000814509,0.000814509
23,189.818,1.91033,2.6243,1.18347,0.45538,0.26837,0.13485,0.04622,2.30927,2.54988,1.42164,0.00081001,0.00081001,0.00081001
24,192.244,1.93008,2.5346,1.18845,0.4398,0.22386,0.1287,0.05259,2.26491,2.50466,1.38742,0.00080551,0.00080551,0.00080551
25,194.669,1.87929,2.48402,1.14392,0.28451,0.22058,0.13304,0.05231,2.21825,2.51973,1.37403,0.000801011,0.000801011,0.000801011
26,197.636,1.8078,2.41105,1.14115,0.30089,0.22794,0.1175,0.05092,2.28281,2.58112,1.40474,0.000796511,0.000796511,0.000796511
27,200.178,1.84821,2.47143,1.14518,0.29698,0.24408,0.14428,0.05354,2.20728,2.50342,1.37787,0.000792012,0.000792012,0.000792012
28,202.657,1.84652,2.36091,1.14884,0.48145,0.19956,0.14471,0.05694,2.23457,2.49945,1.39178,0.000787512,0.000787512,0.000787512
29,205.166,1.84595,2.37767,1.14679,0.41026,0.19772,0.14972,0.04971,2.29012,2.46771,1.40324,0.000783013,0.000783013,0.000783013
30,207.626,1.82427,2.33318,1.14396,0.37991,0.20849,0.12935,0.04622,2.28671,2.40182,1.37286,0.000778513,0.000778513,0.000778513
31,210.135,1.75752,2.30463,1.12508,0.57232,0.17155,0.13679,0.0502,2.26749,2.40589,1.38004,0.000774013,0.000774013,0.000774013
32,212.874,1.75494,2.24916,1.14044,0.74939,0.19575,0.14148,0.05481,2.21155,2.39928,1.35859,0.000769514,0.000769514,0.000769514
33,215.317,1.84569,2.26742,1.14646,0.29026,0.19588,0.15652,0.0605,2.26629,2.38647,1.3955,0.000765014,0.000765014,0.000765014
34,217.794,1.76571,2.19243,1.13026,0.30102,0.2426,0.17753,0.06993,2.31191,2.40417,1.42598,0.000760515,0.000760515,0.000760515
35,220.36,1.78815,2.22927,1.10724,0.30158,0.24549,0.17417,0.07374,2.31404,2.36015,1.41053,0.000756015,0.000756015,0.000756015
36,222.897,1.75073,2.14228,1.10792,0.56649,0.20746,0.16034,0.07015,2.31053,2.34199,1.42682,0.000751516,0.000751516,0.000751516
37,225.424,1.71903,2.14826,1.10998,0.72117,0.18687,0.13527,0.05395,2.36763,2.37775,1.47655,0.000747016,0.000747016,0.000747016
38,228.119,1.7566,2.12811,1.11652,0.55525,0.23646,0.14413,0.04888,2.33969,2.36284,1.48634,0.000742517,0.000742517,0.000742517
39,230.487,1.73204,2.11423,1.13158,0.75491,0.2179,0.1492,0.05292,2.35538,2.43767,1.47448,0.000738017,0.000738017,0.000738017
40,232.988,1.75803,2.10509,1.14032,0.71812,0.19428,0.15645,0.05715,2.36887,2.44657,1.50554,0.000733518,0.000733518,0.000733518
41,235.487,1.75296,2.08435,1.11791,0.56277,0.18093,0.1472,0.05649,2.4063,2.42099,1.51042,0.000729018,0.000729018,0.000729018
42,238.054,1.67932,2.03207,1.09706,0.55092,0.19621,0.13401,0.04552,2.52072,2.40819,1.54286,0.000724518,0.000724518,0.000724518
43,240.489,1.67429,2.00666,1.10098,0.56021,0.19032,0.12603,0.0483,2.43047,2.39897,1.49891,0.000720019,0.000720019,0.000720019
44,243.008,1.66779,1.9681,1.10411,0.46957,0.23307,0.14684,0.05189,2.38695,2.40104,1.49701,0.000715519,0.000715519,0.000715519
45,245.437,1.67048,1.94668,1.08015,0.32377,0.23197,0.14816,0.05285,2.41347,2.36331,1.48122,0.00071102,0.00071102,0.00071102
46,247.918,1.66235,1.95457,1.09363,0.26464,0.23066,0.15727,0.05474,2.37666,2.35198,1.46809,0.00070652,0.00070652,0.00070652
47,250.665,1.67289,1.95638,1.08271,0.4354,0.21775,0.1637,0.0606,2.40271,2.37794,1.50524,0.000702021,0.000702021,0.000702021
48,253.134,1.63838,1.92882,1.06034,0.28078,0.2088,0.1381,0.04738,2.42009,2.35351,1.51198,0.000697521,0.000697521,0.000697521
49,255.555,1.67274,1.91101,1.1102,0.26942,0.26921,0.13181,0.04587,2.36121,2.31059,1.50245,0.000693022,0.000693022,0.000693022
50,258.073,1.67043,1.90674,1.07732,0.08723,0.23005,0.12424,0.03836,2.3851,2.36133,1.48488,0.000688522,0.000688522,0.000688522
51,260.51,1.65741,1.85521,1.06594,0.1708,0.2725,0.12486,0.04004,2.40839,2.38791,1.50095,0.000684022,0.000684022,0.000684022
52,263.066,1.6142,1.84339,1.07854,0.22558,0.25755,0.13313,0.04657,2.394,2.35414,1.47563,0.000679523,0.000679523,0.000679523
53,265.54,1.61597,1.83559,1.0879,0.11959,0.30853,0.1503,0.04463,2.405,2.29518,1.50664,0.000675023,0.000675023,0.000675023
54,267.998,1.63972,1.82601,1.06148,0.13299,0.27595,0.13281,0.04517,2.39684,2.25486,1.49218,0.000670524,0.000670524,0.000670524
55,270.428,1.58985,1.78165,1.07598,0.16092,0.27259,0.15344,0.05254,2.45609,2.29392,1.51771,0.000666024,0.000666024,0.000666024
56,272.891,1.58592,1.80576,1.07597,0.29353,0.31746,0.17302,0.05571,2.47545,2.38534,1.55892,0.000661525,0.000661525,0.000661525
57,275.65,1.54526,1.7084,1.03336,0.31427,0.26655,0.14862,0.04253,2.49846,2.39157,1.58477,0.000657025,0.000657025,0.000657025
58,278.136,1.61687,1.78696,1.05162,0.28073,0.26239,0.12523,0.04017,2.48623,2.36789,1.52949,0.000652526,0.000652526,0.000652526
59,280.636,1.54757,1.67741,1.05159,0.28608,0.25915,0.12768,0.0448,2.45569,2.37029,1.52372,0.000648026,0.000648026,0.000648026
60,283.086,1.55254,1.70258,1.05364,0.43516,0.24404,0.12581,0.04199,2.4928,2.38043,1.55762,0.000643527,0.000643527,0.000643527
61,285.561,1.53792,1.73346,1.02857,0.30126,0.2737,0.1235,0.04188,2.4773,2.3338,1.51645,0.000639027,0.000639027,0.000639027
62,288.133,1.55707,1.67134,1.0554,0.42316,0.24573,0.11951,0.04122,2.46271,2.32998,1.49096,0.000634527,0.000634527,0.000634527
63,290.583,1.5339,1.64675,1.03896,0.45627,0.23057,0.11937,0.0427,2.45792,2.32644,1.50659,0.000630028,0.000630028,0.000630028
64,293.017,1.54105,1.6931,1.03203,0.57954,0.20181,0.14196,0.0461,2.48839,2.33161,1.53031,0.000625528,0.000625528,0.000625528
65,295.521,1.53554,1.61849,1.04522,0.22317,0.24466,0.13379,0.04656,2.43251,2.25719,1.50087,0.000621029,0.000621029,0.000621029
66,297.947,1.54982,1.66305,1.0375,0.40235,0.20465,0.12066,0.03968,2.44701,2.3363,1.49695,0.000616529,0.000616529,0.000616529
67,300.455,1.47613,1.5783,1.01438,0.39727,0.23312,0.13296,0.04161,2.3998,2.43986,1.47448,0.00061203,0.00061203,0.00061203
68,302.935,1.48153,1.5448,1.02462,0.24243,0.24594,0.13012,0.04192,2.39421,2.43139,1.48626,0.00060753,0.00060753,0.00060753
69,305.389,1.47747,1.54659,1.02917,0.46153,0.21132,0.13803,0.05183,2.45085,2.38723,1.52342,0.000603031,0.000603031,0.000603031
70,308.096,1.52218,1.53308,1.02496,0.41908,0.18971,0.14202,0.0578,2.46836,2.40617,1.52921,0.000598531,0.000598531,0.000598531
71,310.559,1.51383,1.5402,1.01904,0.57315,0.18981,0.13462,0.05553,2.52769,2.34705,1.58154,0.000594031,0.000594031,0.000594031
72,313.101,1.52177,1.52686,1.02763,0.57301,0.19577,0.10976,0.04069,2.56666,2.3146,1.60414,0.000589532,0.000589532,0.000589532
73,315.586,1.50203,1.50589,1.02103,0.5759,0.19643,0.11189,0.04069,2.54192,2.30326,1.57098,0.000585032,0.000585032,0.000585032
74,318.047,1.50535,1.4906,1.01672,0.58639,0.16426,0.11588,0.0446,2.491,2.3438,1.54085,0.000580533,0.000580533,0.000580533
75,320.545,1.43688,1.44815,0.99506,0.57633,0.1981,0.11261,0.04285,2.51841,2.33271,1.5612,0.000576033,0.000576033,0.000576033
76,323.003,1.47484,1.4882,1.02113,0.42956,0.18982,0.11215,0.04619,2.48304,2.37911,1.55018,0.000571534,0.000571534,0.000571534
