epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1859,0.08857,5.48432,2.1792,0,0,0,0,0.08029,4.44027,3.27564,0.0847,0.0017,0.0017
2,33.75,0.07578,3.59905,1.72352,0,0,0,0,0.09744,21.4186,6.4115,0.0683845,0.0033845,0.0033845
3,37.1602,0.07603,3.26279,1.71055,0,0,0,0,nan,nan,nan,0.0519502,0.0049502,0.0049502
4,40.4024,0.07289,3.03496,1.66652,0,0,0,0,nan,nan,nan,0.0353971,0.0063971,0.0063971
5,43.2684,0.07136,2.80267,1.69408,7e-05,0.00135,3e-05,1e-05,0.1257,inf,102.084,0.0187252,0.0077252,0.0077252
6,45.8963,0.07137,2.81845,1.61555,0.00015,0.00135,4e-05,1e-05,0.13163,inf,38.4284,0.00835,0.00835,0.00835
7,48.4634,0.07103,2.98421,1.61844,0.14338,0.00135,0.00012,1e-05,0.13368,inf,61.0751,0.00802,0.00802,0.00802
8,50.9254,0.07077,2.82453,1.63717,0,0,0,0,0.13806,inf,117.89,0.00769,0.00769,0.00769
9,53.3534,0.07125,2.75359,1.58953,0,0,0,0,0.13325,inf,118.97,0.00736,0.00736,0.00736
10,55.7281,0.06975,2.71985,1.57902,0.15274,0.05241,0.00573,0.00173,0.09015,6.96291,2.35494,0.00703,0.00703,0.00703
11,58.1783,0.06956,2.74937,1.61584,0.44965,0.06991,0.01773,0.00436,0.07927,5.3824,2.03671,0.0067,0.0067,0.0067
12,60.9303,0.06701,2.64214,1.59003,0.3491,0.14127,0.05027,0.01245,0.06962,8.54844,1.76272,0.00637,0.00637,0.00637
13,63.4686,0.06971,2.67289,1.66641,0.21825,0.17294,0.07323,0.01914,0.0695,7.20818,1.76619,0.00604,0.00604,0.00604
14,65.9127,0.06616,2.47665,1.4807,0.0383,0.11898,0.04119,0.01252,0.07225,3.41728,2.09329,0.00571,0.00571,0.00571
15,68.3278,0.0643,2.56829,1.51054,0.61736,0.11021,0.03893,0.01129,0.07314,3.36084,2.07693,0.00538,0.00538,0.00538
16,70.9225,0.06475,2.4616,1.47866,0.7779,0.10148,0.05863,0.01636,0.06936,3.20091,2.01244,0.00505,0.00505,0.00505
17,73.4025,0.06596,2.50038,1.52754,0.76252,0.12435,0.05363,0.01607,0.0695,3.20794,1.89589,0.00472,0.00472,0.00472
18,75.7431,0.06479,2.5233,1.52049,0.80384,0.0786,0.06914,0.02254,0.06918,3.39786,1.80922,0.00439,0.00439,0.00439
19,78.2835,0.06343,2.37463,1.41435,0.78915,0.12295,0.08381,0.02394,0.06649,3.03954,1.70069,0.00406,0.00406,0.00406
20,80.6817,0.06511,2.32729,1.42668,0.78872,0.1122,0.0977,0.02871,0.06541,2.97693,1.64532,0.00373,0.00373,0.00373
21,84.8573,0.06319,2.62995,1.51483,0.77162,0.16059,0.10219,0.03171,0.06586,3.1226,1.72935,0.0034,0.0034,0.0034
22,87.364,0.06314,2.43528,1.55929,0.78803,0.11423,0.07164,0.02363,0.0668,3.09934,1.73544,0.00307,0.00307,0.00307
23,89.7314,0.06186,2.42178,1.51119,0.7801,0.11597,0.06422,0.01964,0.06716,2.95216,1.79256,0.00274,0.00274,0.00274
24,92.1217,0.06221,2.42555,1.56079,0.79543,0.11685,0.08517,0.02551,0.06528,2.81788,1.74435,0.00241,0.00241,0.00241
25,94.8091,0.06195,2.35415,1.52905,0.79042,0.11687,0.08055,0.02489,0.06407,2.76741,1.67423,0.00208,0.00208,0.00208
26,97.1652,0.06062,2.39086,1.52005,0.77466,0.1212,0.05599,0.01824,0.06644,2.81295,1.76186,0.00175,0.00175,0.00175
27,99.8292,0.06016,2.40282,1.49493,0.78051,0.1287,0.06953,0.02275,0.06544,2.81343,1.73803,0.00142,0.00142,0.00142
28,102.149,0.05929,2.31045,1.47357,0.78461,0.13709,0.07974,0.02594,0.06536,2.78354,1.71913,0.00109,0.00109,0.00109
29,104.433,0.05978,2.36158,1.48298,0.79368,0.13873,0.09131,0.02845,0.06492,2.75159,1.72551,0.00076,0.00076,0.00076
30,106.7,0.05958,2.30458,1.4911,0.78629,0.12296,0.0953,0.03027,0.06485,2.7498,1.74617,0.00043,0.00043,0.00043
