fitness,lr0,degrees,translate,scale,shear,fliplr,flipud,box,cls
0.02486,0.01,45.0,0.1,0.5,0.0,0.5,0.0,0.2,0.5
0.01452,0.01266,45.0,0.1,0.5,0.0,0.5,0.0,0.2,0.532
0.03025,0.01,45.0,0.08829,0.68767,0.0,0.55305,0.0,0.2,0.5
0.0191,0.01171,45.0,0.09503,0.66641,0.0,0.49187,0.0,0.2,0.57132
0.01644,0.01,45.0,0.09875,0.7226,0.0,0.44575,0.0,0.2,0.5
0.02536,0.0084,46.62687,0.09129,0.59009,0.0,0.52964,0.0,0.2,0.42669
0.01613,0.01042,45.0,0.10684,0.5,0.0,0.41772,0.0,0.14497,0.54396
0.01512,0.00972,45.0,0.0948,0.50906,0.0,0.54203,0.0,0.1963,0.51246
0.01528,0.01507,47.84601,0.10184,0.53552,0.0,0.47616,0.0,0.17906,0.62408
0.01412,0.00826,46.91017,0.0913,0.60977,0.0,0.51009,0.0,0.2,0.42347
0.01145,0.01222,45.0,0.07075,0.5,0.0,0.53817,0.0,0.2,0.47166
0.01804,0.00631,53.12128,0.08892,0.5,0.0,0.55842,0.0,0.2,0.57193
0.02291,0.00878,45.28324,0.10151,0.5,0.0,0.53202,0.0,0.18547,0.70311
0.02218,0.00632,45.80505,0.1025,0.61654,0.0,0.61081,0.0,0.16495,0.54334
0.02333,0.00562,48.30628,0.09586,0.50666,0.0,0.60219,0.0,0.16855,0.56914
0.01967,0.00636,60.85254,0.10188,0.5,0.0,0.65288,0.0,0.13208,0.79371
0.01594,0.00971,60.20426,0.1207,0.71727,0.0,0.73907,0.0,0.12466,0.51385
0.01485,0.01381,48.95686,0.10391,0.61411,0.0,0.44135,0.0,0.2,0.67488
0.02238,0.0067,46.02619,0.08353,0.53069,0.0,0.48138,0.0,0.16995,0.44877
0.01465,0.01066,46.85187,0.07247,0.65241,0.0,0.57351,0.0,0.17829,0.87526
